LEVEL1,LEVEL2,LEVEL3,LEVEL4,TOOLTIP,SOURCE,SOURCE URL,2012,2013,2014,2015,2016,2017,LEVEL
General Fund,Development Services,Employee Benefits,Dental Insurance Increment,,,,,334,,,-2527,,4
General Fund,Development Services,Employee Benefits,FICA Temp,,,,202,2224,2153,37,37,,4
General Fund,Development Services,Employee Benefits,Group Life Ad & Di,,,,1875,1769,2051,2146,2665,390,4
General Fund,Development Services,Employee Benefits,Health Insurance,,,,314960,263072,291612,265548,364233,49350,4
General Fund,Development Services,Employee Benefits,Health Insurance Increment,,,,-19656,-42532,-40505,-15800,-25224,3652,4
General Fund,Development Services,Employee Benefits,Medicare,,,,35112,28500,33042,34569,42208,6289,4
General Fund,Development Services,Employee Benefits,Medicare Temp,,,,47,520,504,9,9,,4
General Fund,Development Services,Employee Benefits,Retirement,,,,172366,132476,161107,168551,207335,31446,4
General Fund,Development Services,Employee Benefits,Social Security,,,,150141,121862,141282,147811,180476,26892,4
General Fund,Development Services,Employee Benefits,Supplemental Retirement,,,,68337,36737,42992,63718,70266,11285,4
General Fund,Development Services,Employee Benefits Total,,,,,727652,561681,652681,688331,871911,133398,3
General Fund,Development Services,Miscellaneous,Licenses/Dues & Publications,,,,2000,4000,2700,3870,9470,1000,4
General Fund,Development Services,Miscellaneous,Mileage Reimb,,,,,,,896,3540,,4
General Fund,Development Services,Miscellaneous,Organization Dev & Training,,,,,,8000,3000,500,,4
General Fund,Development Services,Miscellaneous,Postage,,,,100,,,,,,4
General Fund,Development Services,Miscellaneous,Postage - Dept Charges,,,,,,,,,2500,4
General Fund,Development Services,Miscellaneous,Records Storage Retention Svcs,,,,,2500,,12000,12000,,4
General Fund,Development Services,Miscellaneous,Training & Travel & Reg,,,,3300,6500,7250,16150,32840,7500,4
General Fund,Development Services,Miscellaneous Total,,,,,5400,13000,17950,35916,58350,11000,3
General Fund,Development Services,Other Expense,To ISF-Prop/Liab Claims,,,,,,3561,,,,4
General Fund,Development Services,Other Expense,To ISF-Prop/Liab Premium,,,,,,2482,,,,4
General Fund,Development Services,Other Expense,To Isf-Sir Workers Comp,,,,14273,16457,14397,,,,4
General Fund,Development Services,Other Expense,To ISF-WC Excess Premium,,,,,,1003,,,,4
General Fund,Development Services,Other Expense Total,,,,,14273,16457,21443,,,,3
General Fund,Development Services,Salaries and Wages,Earnings Offset,,,,-7618,,,212,,,4
General Fund,Development Services,Salaries and Wages,Expense Allowance,,,,3264,3264,1650,600,600,,4
General Fund,Development Services,Salaries and Wages,Longevity,,,,47482,40805,46914,46734,56299,1213,4
General Fund,Development Services,Salaries and Wages,Merit Increase,,,,12050,71,162,160,,,4
General Fund,Development Services,Salaries and Wages,Range Increase,,,,100,71,162,160,,,4
General Fund,Development Services,Salaries and Wages,Salaries-Ft,,,,2445689,1924574,2231506,2336984,2904091,431646,4
General Fund,Development Services,Salaries and Wages,Salaries-Pt Temp/Seasonal,,,,,32600,33089,,,,4
General Fund,Development Services,Salaries and Wages Total,,,,,2500967,2001385,2313483,2384850,2960990,432859,3
General Fund,Development Services Total,,,,,,3463927,2824414,3362764,3431778,4262354,631698,2
General Fund,Emergency Communications,Capital Equipment,Communications Equip,,,,5506,5506,5506,5506,5506,5506,4
General Fund,Emergency Communications,Capital Equipment Total,,,,,5506,5506,5506,5506,5506,5506,3
General Fund,Emergency Communications,Direct Expenses,Cellular/Wireless Voice Lines,,,,418,492,,,600,600,4
General Fund,Emergency Communications,Direct Expenses,Computer Lease,,,,22994,21667,16073,15968,16382,12954,4
General Fund,Emergency Communications,Direct Expenses,Computer Operatingions & Access,,,,113102,106055,106055,106055,106055,262453,4
General Fund,Emergency Communications,Direct Expenses,Copier Maintenance/Impressions,,,,,,3705,3705,3730,3730,4
General Fund,Emergency Communications,Direct Expenses,Electric Service,,,,15016,13416,13416,13416,13416,7516,4
General Fund,Emergency Communications,Direct Expenses,Equipment Usage Charge,,,,,,,,,11100,4
General Fund,Emergency Communications,Direct Expenses,Motor Fuels & Lubricants,,,,2690,3369,4054,4036,5033,4728,4
General Fund,Emergency Communications,Direct Expenses,Office Supplies,,,,3050,3050,3050,3050,52500,37500,4
General Fund,Emergency Communications,Direct Expenses,Operatingional & Maint Supplies,,,,73050,68500,68500,70700,69178,76178,4
General Fund,Emergency Communications,Direct Expenses,Photocopy Maint,,,,3564,3564,3800,3800,3775,3775,4
General Fund,Emergency Communications,Direct Expenses,Print Copy-Rmb,,,,6206,5000,500,500,500,500,4
General Fund,Emergency Communications,Direct Expenses,Professional Svcs-Other,,,,28248,23248,23248,23248,25000,25000,4
General Fund,Emergency Communications,Direct Expenses,Rental-Real Property,,,,4944,4944,4944,6864,6864,6864,4
General Fund,Emergency Communications,Direct Expenses,Repairs-Bldg/Structure,,,,12800,,,,,,4
General Fund,Emergency Communications,Direct Expenses,Repairs-Other Equip,,,,108730,97730,96230,96230,94988,63535,4
General Fund,Emergency Communications,Direct Expenses,Service Contracts-Other,,,,37512,31640,31640,31640,31640,,4
General Fund,Emergency Communications,Direct Expenses,Small Equipment,,,,6200,3840,3840,3840,2365,8265,4
General Fund,Emergency Communications,Direct Expenses,Telephone/Comm (Hard Lines),,,,102223,87223,87223,87223,87623,25081,4
General Fund,Emergency Communications,Direct Expenses,Uniforms,,,,1000,1000,1200,1200,1200,3200,4
General Fund,Emergency Communications,Direct Expenses,Vehicle Maint & Operatingion,,,,3750,3750,5100,5100,4800,4800,4
General Fund,Emergency Communications,Direct Expenses,Wireless Data Comm,,,,8527,8920,9000,9000,9000,5248,4
General Fund,Emergency Communications,Direct Expenses Total,,,,,554024,487408,481578,485575,534649,563027,3
General Fund,Emergency Communications,Employee Benefits,457 Plan Offset,,,,-33626,,,,,,4
General Fund,Emergency Communications,Employee Benefits,Dental Insurance,,,,37646,48138,46900,52171,62108,67075,4
General Fund,Emergency Communications,Employee Benefits,Dental Insurance Increment,,,,,963,,,-5125,,4
General Fund,Emergency Communications,Employee Benefits,FICA Temp,,,,42194,47032,48202,48675,48675,48683,4
General Fund,Emergency Communications,Employee Benefits,Group Life Ad & Di,,,,3740,3954,4109,4252,4321,4591,4
General Fund,Emergency Communications,Employee Benefits,Health Insurance,,,,678258,814202,809675,741996,806161,857628,4
General Fund,Emergency Communications,Employee Benefits,Health Insurance Increment,,,,-65008,-131634,-109106,-44149,-60082,58145,4
General Fund,Emergency Communications,Employee Benefits,Medicare,,,,60784,63721,66715,69023,69619,75687,4
General Fund,Emergency Communications,Employee Benefits,Medicare Temp,,,,9868,11000,11274,11384,11384,11386,4
General Fund,Emergency Communications,Employee Benefits,Opeb- Post Employment Benefits,,,,,,,175000,175000,175000,4
General Fund,Emergency Communications,Employee Benefits,Retirement,,,,285896,297846,325363,336549,336209,377831,4
General Fund,Emergency Communications,Employee Benefits,Retirement Temp,,,,42194,56894,55743,58097,58097,58097,4
General Fund,Emergency Communications,Employee Benefits,Social Security,,,,259902,272458,285267,295135,297679,323626,4
General Fund,Emergency Communications,Employee Benefits,Supplemental Retirement,,,,101897,76078,77551,114925,103610,115899,4
General Fund,Emergency Communications,Employee Benefits Total,,,,,1423745,1560652,1621693,1863058,1907656,2173647,3
General Fund,Emergency Communications,Miscellaneous,Advertising,,,,250,,,,,,4
General Fund,Emergency Communications,Miscellaneous,Licenses/Dues & Publications,,,,12522,12522,12982,12982,12982,12982,4
General Fund,Emergency Communications,Miscellaneous,Mileage Reimb,,,,3000,1500,1000,1000,1000,1000,4
General Fund,Emergency Communications,Miscellaneous,Organization Dev & Training,,,,9119,9119,7094,7094,35434,35434,4
General Fund,Emergency Communications,Miscellaneous,Postage - Dept Charges,,,,,,,200,760,760,4
General Fund,Emergency Communications,Miscellaneous,Promotions,,,,3000,,,,,,4
General Fund,Emergency Communications,Miscellaneous,Training & Travel & Reg,,,,19084,19084,19584,19584,19584,30884,4
General Fund,Emergency Communications,Miscellaneous Total,,,,,46975,42225,40660,40860,69760,81060,3
General Fund,Emergency Communications,Other Expense,To ISF-Prop/Liab Claims,,,,,,8837,,,,4
General Fund,Emergency Communications,Other Expense,To ISF-Prop/Liab Premium,,,,,,6914,,,,4
General Fund,Emergency Communications,Other Expense,To Isf-Sir Workers Comp,,,,44134,31578,37712,,,,4
General Fund,Emergency Communications,Other Expense,To ISF-WC Excess Premium,,,,,,2626,,,,4
General Fund,Emergency Communications,Other Expense Total,,,,,44134,31578,56089,,,,3
General Fund,Emergency Communications,Salaries and Wages,Earnings Offset,,,,-27167,,,4865,,,4
General Fund,Emergency Communications,Salaries and Wages,Expense Allowance,,,,,,,,120,120,4
General Fund,Emergency Communications,Salaries and Wages,Holiday Pay,,,,117511,161523,162857,162857,162857,177541,4
General Fund,Emergency Communications,Salaries and Wages,Longevity,,,,52674,52239,49086,48347,46337,49397,4
General Fund,Emergency Communications,Salaries and Wages,Merit Increase,,,,27167,134,318,311,,,4
General Fund,Emergency Communications,Salaries and Wages,Range Increase,,,,174,134,318,311,,,4
General Fund,Emergency Communications,Salaries and Wages,Salaries-Ft,,,,4111948,4341988,4551344,4728646,4772619,5201115,4
General Fund,Emergency Communications,Salaries and Wages,Salaries-Ot For Ft Staff,,,,563035,597052,617929,622231,622231,679678,4
General Fund,Emergency Communications,Salaries and Wages,Salaries-Pt Temp/Seasonal,,,,,,,,,21000,4
General Fund,Emergency Communications,Salaries and Wages Total,,,,,4845342,5153070,5381852,5567568,5604164,6128851,3
General Fund,Emergency Communications Total,,,,,,6919726,7280439,7587378,7962567,8121735,8952091,2
General Fund,Engineering Services,Capital Equipment,Engineering & Surveying Equip,,,,,,,,,10000,4
General Fund,Engineering Services,Capital Equipment Total,,,,,,,,,,10000,3
General Fund,Engineering Services,Direct Expenses,Cellular/Wireless Voice Lines,,,,,,,,,6515,4
General Fund,Engineering Services,Direct Expenses,Computer Lease,,,,,,,,,26147,4
General Fund,Engineering Services,Direct Expenses,Computer Operatingions & Access,,,,,,,,,31950,4
General Fund,Engineering Services,Direct Expenses,Copier Maintenance/Impressions,,,,,,,,,9719,4
General Fund,Engineering Services,Direct Expenses,Equipment Usage Charge,,,,,,,,,38114,4
General Fund,Engineering Services,Direct Expenses,Motor Fuels & Lubricants,,,,,,,,,30500,4
General Fund,Engineering Services,Direct Expenses,Office Supplies,,,,,,,,,9300,4
General Fund,Engineering Services,Direct Expenses,Operatingional & Maint Supplies,,,,,,,,,9050,4
General Fund,Engineering Services,Direct Expenses,Photocopy Maint,,,,,,,,,6606,4
General Fund,Engineering Services,Direct Expenses,Print Copy-Rmb,,,,,,,,,1653,4
General Fund,Engineering Services,Direct Expenses,Repairs-Other Equip,,,,,,,,,5620,4
General Fund,Engineering Services,Direct Expenses,Small Equipment,,,,,,,,,4300,4
General Fund,Engineering Services,Direct Expenses,Uniforms,,,,,,,,,1225,4
General Fund,Engineering Services,Direct Expenses,Vehicle Maint & Operatingion,,,,,,,,,34144,4
General Fund,Engineering Services,Direct Expenses,Wireless Data Comm,,,,,,,,,8843,4
General Fund,Engineering Services,Direct Expenses Total,,,,,,,,,,223686,3
General Fund,Engineering Services,Employee Benefits,Dental Insurance,,,,,,,,,31452,4
General Fund,Engineering Services,Employee Benefits,FICA Temp,,,,,,,,,686,4
General Fund,Engineering Services,Employee Benefits,Group Life Ad & Di,,,,,,,,,2396,4
General Fund,Engineering Services,Employee Benefits,Health Insurance,,,,,,,,,403248,4
General Fund,Engineering Services,Employee Benefits,Health Insurance Increment,,,,,,,,,29308,4
General Fund,Engineering Services,Employee Benefits,Medicare,,,,,,,,,38596,4
General Fund,Engineering Services,Employee Benefits,Medicare Temp,,,,,,,,,160,4
General Fund,Engineering Services,Employee Benefits,Retirement,,,,,,,,,192892,4
General Fund,Engineering Services,Employee Benefits,Social Security,,,,,,,,,165032,4
General Fund,Engineering Services,Employee Benefits,Supplemental Retirement,,,,,,,,,58208,4
General Fund,Engineering Services,Employee Benefits Total,,,,,,,,,,921978,3
General Fund,Engineering Services,Miscellaneous,Licenses/Dues & Publications,,,,,,,,,4940,4
General Fund,Engineering Services,Miscellaneous,Mileage Reimb,,,,,,,,,250,4
General Fund,Engineering Services,Miscellaneous,Postage - Dept Charges,,,,,,,,,10330,4
General Fund,Engineering Services,Miscellaneous,Records Storage Retention Svcs,,,,,,,,,3050,4
General Fund,Engineering Services,Miscellaneous,Training & Travel & Reg,,,,,,,,,32350,4
General Fund,Engineering Services,Miscellaneous Total,,,,,,,,,,50920,3
General Fund,Engineering Services,Other Expense,To ISF-Prop/Liab Claims,,,,,,,,,43972,4
General Fund,Engineering Services,Other Expense,To ISF-Prop/Liab Premium,,,,,,,,,64699,4
General Fund,Engineering Services,Other Expense,To Isf-Sir Workers Comp,,,,,,,,,262438,4
General Fund,Engineering Services,Other Expense,To ISF-WC Excess Premium,,,,,,,,,23024,4
General Fund,Engineering Services,Other Expense Total,,,,,,,,,,394133,3
General Fund,Engineering Services,Salaries and Wages,Expense Allowance,,,,,,,,,9750,4
General Fund,Engineering Services,Salaries and Wages,Longevity,,,,,,,,,41083,4
General Fund,Engineering Services,Salaries and Wages,Salaries-Ft,,,,,,,,,2620721,4
General Fund,Engineering Services,Salaries and Wages Total,,,,,,,,,,2671554,3
General Fund,Engineering Services Total,,,,,,,,,,,4272270,2
General Fund,Facilities Maint-Eng Svcs,Capital Equipment,Office Furniture & Equip,,,,,,,,,300000,4
General Fund,Facilities Maint-Eng Svcs,Capital Equipment,Shop Tools & Equip,,,,,,,,,11015,4
General Fund,Facilities Maint-Eng Svcs,Capital Equipment Total,,,,,,,,,,311015,3
General Fund,Facilities Maint-Eng Svcs,Direct Expenses,Cellular/Wireless Voice Lines,,,,,,,,,640,4
General Fund,Facilities Maint-Eng Svcs,Direct Expenses,Chemicals,,,,,,,,,4414,4
General Fund,Facilities Maint-Eng Svcs,Direct Expenses,Computer Lease,,,,,,,,,47799,4
General Fund,Facilities Maint-Eng Svcs,Direct Expenses,Computer Operatingions & Access,,,,,,,,,2832,4
General Fund,Facilities Maint-Eng Svcs,Direct Expenses,Contractual Svcs-Other,,,,,,,,,78519,4
General Fund,Facilities Maint-Eng Svcs,Direct Expenses,Copier Maintenance/Impressions,,,,,,,,,3131,4
General Fund,Facilities Maint-Eng Svcs,Direct Expenses,Electric Service,,,,,,,,,1556969,4
General Fund,Facilities Maint-Eng Svcs,Direct Expenses,Equipment Usage Charge,,,,,,,,,98871,4
General Fund,Facilities Maint-Eng Svcs,Direct Expenses,Motor Fuels & Lubricants,,,,,,,,,66960,4
General Fund,Facilities Maint-Eng Svcs,Direct Expenses,Motor Pool Vehicle Use Costs,,,,,,,,,10000,4
General Fund,Facilities Maint-Eng Svcs,Direct Expenses,Natural Gas Svc,,,,,,,,,103982,4
General Fund,Facilities Maint-Eng Svcs,Direct Expenses,Office Supplies,,,,,,,,,5930,4
General Fund,Facilities Maint-Eng Svcs,Direct Expenses,Operatingional & Maint Supplies,,,,,,,,,300098,4
General Fund,Facilities Maint-Eng Svcs,Direct Expenses,Photocopy Maint,,,,,,,,,2811,4
General Fund,Facilities Maint-Eng Svcs,Direct Expenses,Print Copy-Rmb,,,,,,,,,42,4
General Fund,Facilities Maint-Eng Svcs,Direct Expenses,Rental-Equipment,,,,,,,,,18280,4
General Fund,Facilities Maint-Eng Svcs,Direct Expenses,Rental-Real Property,,,,,,,,,542955,4
General Fund,Facilities Maint-Eng Svcs,Direct Expenses,Repairs-Bldg/Structure,,,,,,,,,289112,4
General Fund,Facilities Maint-Eng Svcs,Direct Expenses,Repairs-Other Equip,,,,,,,,,5631,4
General Fund,Facilities Maint-Eng Svcs,Direct Expenses,Security Services,,,,,,,,,10036,4
General Fund,Facilities Maint-Eng Svcs,Direct Expenses,Service Contracts-Other,,,,,,,,,2050759,4
General Fund,Facilities Maint-Eng Svcs,Direct Expenses,Sign Materials,,,,,,,,,522,4
General Fund,Facilities Maint-Eng Svcs,Direct Expenses,Small Equipment,,,,,,,,,39142,4
General Fund,Facilities Maint-Eng Svcs,Direct Expenses,Telephone/Comm (Hard Lines),,,,,,,,,23184,4
General Fund,Facilities Maint-Eng Svcs,Direct Expenses,Uniforms,,,,,,,,,12272,4
General Fund,Facilities Maint-Eng Svcs,Direct Expenses,Vehicle Maint & Operatingion,,,,,,,,,47750,4
General Fund,Facilities Maint-Eng Svcs,Direct Expenses,Wireless Data Comm,,,,,,,,,38395,4
General Fund,Facilities Maint-Eng Svcs,Direct Expenses Total,,,,,,,,,,5361035,3
General Fund,Facilities Maint-Eng Svcs,Employee Benefits,Dental Insurance,,,,,,,,,30001,4
General Fund,Facilities Maint-Eng Svcs,Employee Benefits,FICA Temp,,,,,,,,,4348,4
General Fund,Facilities Maint-Eng Svcs,Employee Benefits,Group Life Ad & Di,,,,,,,,,2095,4
General Fund,Facilities Maint-Eng Svcs,Employee Benefits,Health Insurance,,,,,,,,,364529,4
General Fund,Facilities Maint-Eng Svcs,Employee Benefits,Health Insurance Increment,,,,,,,,,25910,4
General Fund,Facilities Maint-Eng Svcs,Employee Benefits,Medicare,,,,,,,,,33760,4
General Fund,Facilities Maint-Eng Svcs,Employee Benefits,Medicare Temp,,,,,,,,,1017,4
General Fund,Facilities Maint-Eng Svcs,Employee Benefits,Retirement,,,,,,,,,168717,4
General Fund,Facilities Maint-Eng Svcs,Employee Benefits,Retirement Temp,,,,,,,,,5149,4
General Fund,Facilities Maint-Eng Svcs,Employee Benefits,Social Security,,,,,,,,,144355,4
General Fund,Facilities Maint-Eng Svcs,Employee Benefits,Supplemental Retirement,,,,,,,,,54142,4
General Fund,Facilities Maint-Eng Svcs,Employee Benefits Total,,,,,,,,,,834022,3
General Fund,Facilities Maint-Eng Svcs,Interfund Transfers In/Out,To 310 W/S Reimb,,,,,,,,,81031,4
General Fund,Facilities Maint-Eng Svcs,Interfund Transfers In/Out,To 460 Reimb Engineering Stm W,,,,,,,,,32935,4
General Fund,Facilities Maint-Eng Svcs,Interfund Transfers In/Out Total,,,,,,,,,,113966,3
General Fund,Facilities Maint-Eng Svcs,Miscellaneous,Licenses/Dues & Publications,,,,,,,,,3727,4
General Fund,Facilities Maint-Eng Svcs,Miscellaneous,Records Storage Retention Svcs,,,,,,,,,60,4
General Fund,Facilities Maint-Eng Svcs,Miscellaneous,Training & Travel & Reg,,,,,,,,,10600,4
General Fund,Facilities Maint-Eng Svcs,Miscellaneous Total,,,,,,,,,,14387,3
General Fund,Facilities Maint-Eng Svcs,Salaries and Wages,Expense Allowance,,,,,,,,,545,4
General Fund,Facilities Maint-Eng Svcs,Salaries and Wages,Holiday Pay,,,,,,,,,1843,4
General Fund,Facilities Maint-Eng Svcs,Salaries and Wages,Longevity,,,,,,,,,24956,4
General Fund,Facilities Maint-Eng Svcs,Salaries and Wages,Salaries-Ft,,,,,,,,,2303371,4
General Fund,Facilities Maint-Eng Svcs,Salaries and Wages,Salaries-Ot For Ft Staff,,,,,,,,,67736,4
General Fund,Facilities Maint-Eng Svcs,Salaries and Wages Total,,,,,,,,,,2398451,3
General Fund,Facilities Maint-Eng Svcs Total,,,,,,,,,,,9032875,2
General Fund,Finance Administration,Capital Equipment,Office Furniture & Equip,,,,,,6000,,,,4
General Fund,Finance Administration,Capital Equipment Total,,,,,,,6000,,,,3
General Fund,Finance Administration,Direct Expenses,Computer Lease,,,,3500,2067,1915,2000,2000,2500,4
General Fund,Finance Administration,Direct Expenses,Contractual Svcs-Other,,,,10000,9500,4500,,,,4
General Fund,Finance Administration,Direct Expenses,Copier Maintenance/Impressions,,,,,594,1153,1200,1200,1200,4
General Fund,Finance Administration,Direct Expenses,Office Supplies,,,,3000,2900,3300,4100,4100,4100,4
General Fund,Finance Administration,Direct Expenses,Photocopy Maint,,,,3769,2124,2164,2200,2200,2200,4
General Fund,Finance Administration,Direct Expenses,Print Copy-Rmb,,,,2000,1000,1000,200,200,200,4
General Fund,Finance Administration,Direct Expenses,Professional Svcs-Other,,,,,,50000,,,,4
General Fund,Finance Administration,Direct Expenses,Repairs-Office Equip,,,,150,100,,,,,4
General Fund,Finance Administration,Direct Expenses,Small Equipment,,,,400,400,,,,,4
General Fund,Finance Administration,Direct Expenses,Vehicle Maint & Operatingion,,,,1277,900,900,400,400,400,4
General Fund,Finance Administration,Direct Expenses,Wireless Data Comm,,,,600,600,,,,,4
General Fund,Finance Administration,Direct Expenses Total,,,,,24696,20185,64932,10100,10100,10600,3
General Fund,Finance Administration,Employee Benefits,457 Plan Offset,,,,-3149,,,,,,4
General Fund,Finance Administration,Employee Benefits,Dental Insurance,,,,1088,993,983,1209,1594,2560,4
General Fund,Finance Administration,Employee Benefits,Dental Insurance Increment,,,,,20,,,-133,,4
General Fund,Finance Administration,Employee Benefits,FICA Temp,,,,263,263,267,267,267,267,4
General Fund,Finance Administration,Employee Benefits,Group Life Ad & Di,,,,286,291,258,257,309,413,4
General Fund,Finance Administration,Employee Benefits,Health Insurance,,,,17189,19296,16560,15936,21732,31065,4
General Fund,Finance Administration,Employee Benefits,Health Insurance Increment,,,,-1554,-3120,-2300,-948,-1634,2299,4
General Fund,Finance Administration,Employee Benefits,Medicare,,,,4611,4683,4781,4776,4976,6652,4
General Fund,Finance Administration,Employee Benefits,Medicare Temp,,,,61,61,62,62,62,62,4
General Fund,Finance Administration,Employee Benefits,Retirement,,,,21880,21769,23310,23289,24023,33260,4
General Fund,Finance Administration,Employee Benefits,Social Security,,,,19717,20025,20442,20423,21277,28443,4
General Fund,Finance Administration,Employee Benefits,Supplemental Retirement,,,,9541,6460,6594,9607,8598,11064,4
General Fund,Finance Administration,Employee Benefits Total,,,,,69933,70741,70957,74878,81071,116087,3
General Fund,Finance Administration,Miscellaneous,Licenses/Dues & Publications,,,,2600,5600,5000,5200,2100,2100,4
General Fund,Finance Administration,Miscellaneous,Mileage Reimb,,,,750,700,1000,1300,1300,1300,4
General Fund,Finance Administration,Miscellaneous,Organization Dev & Training,,,,,,50000,40000,40000,5000,4
General Fund,Finance Administration,Miscellaneous,Postage - Dept Charges,,,,,,,33000,33000,18000,4
General Fund,Finance Administration,Miscellaneous,Records Storage Retention Svcs,,,,,612,612,,,,4
General Fund,Finance Administration,Miscellaneous,Training & Travel & Reg,,,,10000,9500,9500,16100,16100,23400,4
General Fund,Finance Administration,Miscellaneous Total,,,,,13350,16412,66112,95600,92500,49800,3
General Fund,Finance Administration,Other Expense,To ISF-Prop/Liab Claims,,,,,,6212,,,,4
General Fund,Finance Administration,Other Expense,To ISF-Prop/Liab Premium,,,,,,4426,,,,4
General Fund,Finance Administration,Other Expense,To Isf-Sir Workers Comp,,,,31358,24750,26668,,,,4
General Fund,Finance Administration,Other Expense,To ISF-WC Excess Premium,,,,,,1857,,,,4
General Fund,Finance Administration,Other Expense Total,,,,,31358,24750,39163,,,,3
General Fund,Finance Administration,Salaries and Wages,Earnings Offset,,,,-1072,,,7514,,,4
General Fund,Finance Administration,Salaries and Wages,Expense Allowance,,,,4237,4237,4309,4309,4309,4309,4
General Fund,Finance Administration,Salaries and Wages,Longevity,,,,8859,8952,9158,3368,9465,11124,4
General Fund,Finance Administration,Salaries and Wages,Merit Increase,,,,1072,5,21,4,,,4
General Fund,Finance Administration,Salaries and Wages,Range Increase,,,,9,5,21,4,,,4
General Fund,Finance Administration,Salaries and Wages,Salaries-Ft,,,,308083,314017,320508,326027,333718,447638,4
General Fund,Finance Administration,Salaries and Wages Total,,,,,321188,327216,334017,341226,347492,463071,3
General Fund,Finance Administration Total,,,,,,460525,459304,581181,521804,531163,639558,2
General Fund,Finance Internal Audit Office,Direct Expenses,Computer Lease,,,,1927,1726,1579,,,,4
General Fund,Finance Internal Audit Office,Direct Expenses,Computer Operatingions & Access,,,,430,430,430,,,,4
General Fund,Finance Internal Audit Office,Direct Expenses,Contractual Svcs-Other,,,,12733,9806,9806,,,,4
General Fund,Finance Internal Audit Office,Direct Expenses,Copier Maintenance/Impressions,,,,,198,198,,,,4
General Fund,Finance Internal Audit Office,Direct Expenses,Office Supplies,,,,500,500,500,,,,4
General Fund,Finance Internal Audit Office,Direct Expenses,Photocopy Maint,,,,2681,652,652,,,,4
General Fund,Finance Internal Audit Office,Direct Expenses,Print Copy-Rmb,,,,300,300,300,,,,4
General Fund,Finance Internal Audit Office,Direct Expenses,Rental-Real Property,,,,18827,19392,19392,,,,4
General Fund,Finance Internal Audit Office,Direct Expenses,Telephone/Comm (Hard Lines),,,,1020,,,,,,4
General Fund,Finance Internal Audit Office,Direct Expenses Total,,,,,38418,33004,32857,,,,3
General Fund,Finance Internal Audit Office,Employee Benefits,457 Plan Offset,,,,-2073,,,,,,4
General Fund,Finance Internal Audit Office,Employee Benefits,Dental Insurance,,,,1417,1927,1808,,,,4
General Fund,Finance Internal Audit Office,Employee Benefits,Dental Insurance Increment,,,,,39,,,,,4
General Fund,Finance Internal Audit Office,Employee Benefits,Group Life Ad & Di,,,,188,187,203,,,,4
General Fund,Finance Internal Audit Office,Employee Benefits,Health Insurance,,,,23166,24548,24408,,,,4
General Fund,Finance Internal Audit Office,Employee Benefits,Health Insurance Increment,,,,-2095,-3969,-3390,,,,4
General Fund,Finance Internal Audit Office,Employee Benefits,Medicare,,,,3037,3014,3271,,,,4
General Fund,Finance Internal Audit Office,Employee Benefits,Retirement,,,,14409,14008,15950,,,,4
General Fund,Finance Internal Audit Office,Employee Benefits,Social Security,,,,12985,12886,13987,,,,4
General Fund,Finance Internal Audit Office,Employee Benefits,Supplemental Retirement,,,,6283,4157,4512,,,,4
General Fund,Finance Internal Audit Office,Employee Benefits Total,,,,,57317,56797,60749,,,,3
General Fund,Finance Internal Audit Office,Miscellaneous,Licenses/Dues & Publications,,,,,1020,1020,,,,4
General Fund,Finance Internal Audit Office,Miscellaneous,Training & Travel & Reg,,,,1275,3303,9303,,,,4
General Fund,Finance Internal Audit Office,Miscellaneous Total,,,,,1275,4323,10323,,,,3
General Fund,Finance Internal Audit Office,Salaries and Wages,Earnings Offset,,,,-1743,,,,,,4
General Fund,Finance Internal Audit Office,Salaries and Wages,Longevity,,,,826,827,850,,,,4
General Fund,Finance Internal Audit Office,Salaries and Wages,Merit Increase,,,,1743,13,22,,,,4
General Fund,Finance Internal Audit Office,Salaries and Wages,Range Increase,,,,13,13,22,,,,4
General Fund,Finance Internal Audit Office,Salaries and Wages,Salaries-Ft,,,,206854,206984,224701,,,,4
General Fund,Finance Internal Audit Office,Salaries and Wages Total,,,,,207693,207837,225595,,,,3
General Fund,Finance Internal Audit Office Total,,,,,,304703,301961,329524,,,,2
General Fund,Fire Adm,Capital Equipment,Communications Equip,,,,,,,57800,57800,57800,4
General Fund,Fire Adm,Capital Equipment,Computer Equip,,,,,,,30000,30000,30000,4
General Fund,Fire Adm,Capital Equipment Total,,,,,,,,87800,87800,87800,3
General Fund,Fire Adm,Direct Expenses,Broadband/Internet Fees,,,,,,,75000,75000,102000,4
General Fund,Fire Adm,Direct Expenses,Cellular/Wireless Voice Lines,,,,,,,33000,3750,115917,4
General Fund,Fire Adm,Direct Expenses,Computer Lease,,,,7665,7522,7639,5449,7962,11422,4
General Fund,Fire Adm,Direct Expenses,Computer Operatingions & Access,,,,23950,24903,25380,86492,12492,12492,4
General Fund,Fire Adm,Direct Expenses,Contractual Svcs-Other,,,,25000,30000,35000,35000,123570,123570,4
General Fund,Fire Adm,Direct Expenses,Copier Maintenance/Impressions,,,,105,801,683,683,683,682,4
General Fund,Fire Adm,Direct Expenses,Equipment Usage Charge,,,,,,,,4760,,4
General Fund,Fire Adm,Direct Expenses,Office Supplies,,,,4195,4000,4000,11123,13122,14802,4
General Fund,Fire Adm,Direct Expenses,Operatingional & Maint Supplies,,,,5950,9950,10300,10800,12800,15900,4
General Fund,Fire Adm,Direct Expenses,Photocopy Maint,,,,1782,1305,1305,1305,1305,1304,4
