Fund,Department,Type,Account,Current,Amount,Revenue,Annotation
General Fund,Human Resources,Miscellaneous,Organization Dev & Training,43000,-75500,FALSE,0
General Fund,Human Resources,Miscellaneous,Postage - Dept Charges,2800,0,FALSE,0
General Fund,Human Resources,Miscellaneous,Records Storage Retention Svcs,12000,6000,FALSE,0
General Fund,Human Resources,Miscellaneous,Training & Travel & Reg,54000,20000,FALSE,0
General Fund,Human Resources,Miscellaneous,Tuition Assistance,135000,0,FALSE,0
General Fund,Human Resources,Other Expense,Background Invest,22000,9000,FALSE,0
General Fund,Human Resources,Salaries and Wages,Expense Allowance,4733,0,FALSE,0
General Fund,Human Resources,Salaries and Wages,Incentive Pay,5000,0,FALSE,0
General Fund,Human Resources,Salaries and Wages,Longevity,18706.56,-7875.43,FALSE,0
General Fund,Human Resources,Salaries and Wages,Salaries-Ft,2271968,268284.85,FALSE,0
General Fund,Human Resources,Salaries and Wages,Salaries-Ot For Ft Staff,6304,0,FALSE,0
General Fund,Human Resources,Salaries and Wages,Salaries-Pt Temp/Seasonal,100000,38491,FALSE,0
General Fund,Human Service Agencies,Other Expense,Arts & Culture,170286,-109015,FALSE,0
General Fund,Human Service Agencies,Other Expense,Human Service Agencies,1019200,-4800,FALSE,0
General Fund,Information Technology Admin,Direct Expenses,Computer Operations & Access,1300,-56500,FALSE,0
General Fund,Information Technology Admin,Direct Expenses,Contractual Svcs-Other,142170,-42150,FALSE,0
General Fund,Information Technology Admin,Direct Expenses,Copier Maintenance/Impressions,500,500,FALSE,0
General Fund,Information Technology Admin,Direct Expenses,Office Supplies,3000,3000,FALSE,0
General Fund,Information Technology Admin,Direct Expenses,Operational & Maint Supplies,1148,-11500,FALSE,0
General Fund,Information Technology Admin,Direct Expenses,Print Copy-Rmb,1800,0,FALSE,0
General Fund,Information Technology Admin,Direct Expenses,Professional Svcs-Other,,-77000,FALSE,0
General Fund,Information Technology Admin,Direct Expenses,Uniforms,,-1000,FALSE,0
General Fund,Information Technology Admin,Employee Benefits,Dental Insurance,6219.52,303.2,FALSE,0
General Fund,Information Technology Admin,Employee Benefits,Dental Insurance Increment,,492.24,FALSE,0
General Fund,Information Technology Admin,Employee Benefits,FICA Temp,2207.76,0,FALSE,0
General Fund,Information Technology Admin,Employee Benefits,Group Life Ad & Di,799.61,48.27,FALSE,0
General Fund,Information Technology Admin,Employee Benefits,Health Insurance,73413.12,-15554.88,FALSE,0
General Fund,Information Technology Admin,Employee Benefits,Health Insurance Increment,5432.58,12122.98,FALSE,0
General Fund,Information Technology Admin,Employee Benefits,Medicare,12882.81,777.88,FALSE,0
General Fund,Information Technology Admin,Employee Benefits,Medicare Temp,516.33,0,FALSE,0
General Fund,Information Technology Admin,Employee Benefits,Retirement,64414.17,5901.84,FALSE,0
General Fund,Information Technology Admin,Employee Benefits,Social Security,55085.22,3326.25,FALSE,0
General Fund,Information Technology Admin,Employee Benefits,Supplemental Retirement,21090.33,-2042.71,FALSE,0
General Fund,Information Technology Admin,Miscellaneous,Postage - Dept Charges,,-250,FALSE,0
General Fund,Information Technology Admin,Miscellaneous,Training & Travel & Reg,68400,68400,FALSE,0
General Fund,Information Technology Admin,Other Expense,Stipened - Gr,,-20000,FALSE,0
General Fund,Information Technology Admin,Salaries and Wages,Agency Personnel-Temp,10000,0,FALSE,0
General Fund,Information Technology Admin,Salaries and Wages,Expense Allowance,5309,0,FALSE,0
General Fund,Information Technology Admin,Salaries and Wages,Longevity,11379.61,2752.42,FALSE,0
General Fund,Information Technology Admin,Salaries and Wages,Salaries-Ft,877091.77,50896.8,FALSE,0
General Fund,Information Technology Admin,Salaries and Wages,Salaries-Pt Temp/Seasonal,30300,0,FALSE,0
General Fund,Information Technology Admin,Salaries and Wages,Salary Reserve,200000,200000,FALSE,0
General Fund,Inspections,Capital Equipment,Communications Equip,,-12500,FALSE,0
General Fund,Inspections,Direct Expenses,Cellular/Wireless Voice Lines,,-1032.72,FALSE,0
General Fund,Inspections,Direct Expenses,Computer Lease,,-28775,FALSE,0
General Fund,Inspections,Direct Expenses,Computer Operations & Access,,-3250,FALSE,0
General Fund,Inspections,Direct Expenses,Copier Maintenance/Impressions,,-14200,FALSE,0
General Fund,Inspections,Direct Expenses,Equipment Usage Charge,,-176536,FALSE,0
General Fund,Inspections,Direct Expenses,Motor Fuels & Lubricants,,-148270,FALSE,0
General Fund,Inspections,Direct Expenses,Office Supplies,,-4500,FALSE,0
General Fund,Inspections,Direct Expenses,Operational & Maint Supplies,,-9000,FALSE,0
General Fund,Inspections,Direct Expenses,Photocopy Maint,,-6000,FALSE,0
General Fund,Inspections,Direct Expenses,Print Copy-Rmb,,-2500,FALSE,0
General Fund,Inspections,Direct Expenses,Rental-Real Property,,-50000,FALSE,0
General Fund,Inspections,Direct Expenses,Service Contracts-Other,,-3000,FALSE,0
General Fund,Inspections,Direct Expenses,Small Equipment,,-2750,FALSE,0
General Fund,Inspections,Direct Expenses,Uniforms,,-3500,FALSE,0
General Fund,Inspections,Direct Expenses,Vehicle Maint & Operation,,-89400,FALSE,0
General Fund,Inspections,Direct Expenses,Wan Data Line,,-5000,FALSE,0
General Fund,Inspections,Direct Expenses,Wireless Data Comm,,-50583.2,FALSE,0
General Fund,Inspections,Employee Benefits,Dental Insurance,,-42661,FALSE,0
General Fund,Inspections,Employee Benefits,Dental Insurance Increment,,3163.76,FALSE,0
General Fund,Inspections,Employee Benefits,FICA Temp,,-2027.4,FALSE,0
General Fund,Inspections,Employee Benefits,Group Life Ad & Di,,-3591.22,FALSE,0
General Fund,Inspections,Employee Benefits,Health Insurance,,-500658.24,FALSE,0
General Fund,Inspections,Employee Benefits,Health Insurance Increment,,32776.54,FALSE,0
General Fund,Inspections,Employee Benefits,Medicare,,-57858.26,FALSE,0
General Fund,Inspections,Employee Benefits,Medicare Temp,,-474.15,FALSE,0
General Fund,Inspections,Employee Benefits,Retirement,,-279639.85,FALSE,0
General Fund,Inspections,Employee Benefits,Retirement Temp,,-1628,FALSE,0
General Fund,Inspections,Employee Benefits,Social Security,,-247393.68,FALSE,0
General Fund,Inspections,Employee Benefits,Supplemental Retirement,,-91944.6,FALSE,0
General Fund,Inspections,Miscellaneous,Licenses/Dues & Publications,,-12410,FALSE,0
General Fund,Inspections,Miscellaneous,Postage - Dept Charges,,-15000,FALSE,0
General Fund,Inspections,Miscellaneous,Training & Travel & Reg,,-17000,FALSE,0
General Fund,Inspections,Other Expense,To ISF-Prop/Liab Claims,,-14083,FALSE,0
General Fund,Inspections,Other Expense,To ISF-Prop/Liab Premium,,-9070,FALSE,0
General Fund,Inspections,Other Expense,To Isf-Sir Workers Comp,,-63564,FALSE,0
General Fund,Inspections,Other Expense,To ISF-WC Excess Premium,,-5422,FALSE,0
General Fund,Inspections,Salaries and Wages,Expense Allowance,,-600,FALSE,0
General Fund,Inspections,Salaries and Wages,Longevity,,-52882.61,FALSE,0
General Fund,Inspections,Salaries and Wages,Salaries-Ft,,-3937336.5,FALSE,0
General Fund,Inspections,Salaries and Wages,Salaries-Ot For Ft Staff,,-22000,FALSE,0
General Fund,Inspections,Salaries and Wages,Salaries-Pt Temp/Seasonal,,-10100,FALSE,0
General Fund,Internal Audit Office,Direct Expenses,Computer Lease,2700,0,FALSE,0
General Fund,Internal Audit Office,Direct Expenses,Computer Operations & Access,1860,0,FALSE,0
General Fund,Internal Audit Office,Direct Expenses,Contractual Svcs-Other,100795,0,FALSE,0
General Fund,Internal Audit Office,Direct Expenses,Copier Maintenance/Impressions,200,0,FALSE,0
General Fund,Internal Audit Office,Direct Expenses,Office Supplies,400,0,FALSE,0
General Fund,Internal Audit Office,Direct Expenses,Photocopy Maint,652,0,FALSE,0
General Fund,Internal Audit Office,Direct Expenses,Print Copy-Rmb,300,0,FALSE,0
General Fund,Internal Audit Office,Direct Expenses,Vehicle Maint & Operation,900,0,FALSE,0
General Fund,Internal Audit Office,Employee Benefits,Dental Insurance,2936.88,-4.76,FALSE,0
General Fund,Internal Audit Office,Employee Benefits,Dental Insurance Increment,,244.74,FALSE,0
General Fund,Internal Audit Office,Employee Benefits,Group Life Ad & Di,287.74,2.79,FALSE,0
General Fund,Internal Audit Office,Employee Benefits,Health Insurance,27780,-2496,FALSE,0
General Fund,Internal Audit Office,Employee Benefits,Health Insurance Increment,2055.72,4332.48,FALSE,0
General Fund,Internal Audit Office,Employee Benefits,Medicare,4635.9,44.98,FALSE,0
General Fund,Internal Audit Office,Employee Benefits,Retirement,23179.45,1016.38,FALSE,0
General Fund,Internal Audit Office,Employee Benefits,Social Security,19822.43,192.28,FALSE,0
General Fund,Internal Audit Office,Employee Benefits,Supplemental Retirement,6826.8,-1876.11,FALSE,0
General Fund,Internal Audit Office,Miscellaneous,Licenses/Dues & Publications,1520,0,FALSE,0
General Fund,Internal Audit Office,Miscellaneous,Training & Travel & Reg,12303,0,FALSE,0
General Fund,Internal Audit Office,Salaries and Wages,Longevity,2020.23,57.5,FALSE,0
General Fund,Internal Audit Office,Salaries and Wages,Salaries-Ft,317696.31,3043.65,FALSE,0
General Fund,IT Application Support,Direct Expenses,Computer Operations & Access,2511887,1193111,FALSE,0
General Fund,IT Application Support,Direct Expenses,Contractual Svcs-Other,200000,200000,FALSE,0
General Fund,IT Application Support,Direct Expenses,Professional Svcs-Other,231500.75,-510019.25,FALSE,0
General Fund,IT Application Support,Employee Benefits,Dental Insurance,18917.64,1169.52,FALSE,0
General Fund,IT Application Support,Employee Benefits,Dental Insurance Increment,,1433.8,FALSE,0
General Fund,IT Application Support,Employee Benefits,Group Life Ad & Di,2155.58,154.68,FALSE,0
General Fund,IT Application Support,Employee Benefits,Health Insurance,267735.36,17954.88,FALSE,0
General Fund,IT Application Support,Employee Benefits,Health Insurance Increment,19279.62,37521.67,FALSE,0
General Fund,IT Application Support,Employee Benefits,Medicare,34728.86,2492.49,FALSE,0
General Fund,IT Application Support,Employee Benefits,Retirement,173574.57,17912.48,FALSE,0
General Fund,IT Application Support,Employee Benefits,Social Security,148495.85,10657.51,FALSE,0
General Fund,IT Application Support,Employee Benefits,Supplemental Retirement,64320.71,4706.66,FALSE,0
General Fund,IT Application Support,Salaries and Wages,Longevity,29660.29,-6745.94,FALSE,0
General Fund,IT Application Support,Salaries and Wages,Salaries-Ft,2365434.38,178641.78,FALSE,0
General Fund,IT Application Support,Salaries and Wages,Salary Reserve,12169.29,0,FALSE,0
General Fund,IT Customer Relationship Mgt,Direct Expenses,Computer Operations & Access,474169,54000,FALSE,0
General Fund,IT Customer Relationship Mgt,Direct Expenses,MFD Enterprise Acct,810161,0,FALSE,0
General Fund,IT Customer Relationship Mgt,Direct Expenses,MFD Lease Contra Account,-810161,0,FALSE,0
General Fund,IT Customer Relationship Mgt,Direct Expenses,Photocopy Maint,,-13000,FALSE,0
General Fund,IT Customer Relationship Mgt,Direct Expenses,Professional Svcs-Other,215000,-68000,FALSE,0
General Fund,IT Customer Relationship Mgt,Direct Expenses,Rental-Real Property,2000,0,FALSE,0
General Fund,IT Customer Relationship Mgt,Direct Expenses,Telephone/Comm (Hard Lines),,-27000,FALSE,0
General Fund,IT Customer Relationship Mgt,Employee Benefits,Dental Insurance,6079.4,530.36,FALSE,0
General Fund,IT Customer Relationship Mgt,Employee Benefits,Dental Insurance Increment,,461.67,FALSE,0
General Fund,IT Customer Relationship Mgt,Employee Benefits,Group Life Ad & Di,668.54,79.69,FALSE,0
General Fund,IT Customer Relationship Mgt,Employee Benefits,Health Insurance,97248,4082.88,FALSE,0
General Fund,IT Customer Relationship Mgt,Employee Benefits,Health Insurance Increment,7196.36,14202.37,FALSE,0
General Fund,IT Customer Relationship Mgt,Employee Benefits,Medicare,10771.17,1284.18,FALSE,0
General Fund,IT Customer Relationship Mgt,Employee Benefits,Retirement,53855.83,8056.57,FALSE,0
General Fund,IT Customer Relationship Mgt,Employee Benefits,Social Security,46056.02,5490.93,FALSE,0
General Fund,IT Customer Relationship Mgt,Employee Benefits,Supplemental Retirement,18463.4,2344.52,FALSE,0
General Fund,IT Customer Relationship Mgt,Miscellaneous,In/Out Freight,4150,-50,FALSE,0
General Fund,IT Customer Relationship Mgt,Salaries and Wages,Longevity,8594.73,750.85,FALSE,0
General Fund,IT Customer Relationship Mgt,Salaries and Wages,Salaries-Ft,734244.24,87812.74,FALSE,0
General Fund,IT Enterprise Infrastructure M,Direct Expenses,Computer Operations & Access,2682099.03,79200,FALSE,0
General Fund,IT Enterprise Infrastructure M,Direct Expenses,Contractual Svcs-Other,295300,226800,FALSE,0
General Fund,IT Enterprise Infrastructure M,Direct Expenses,Office Supplies,1400,1400,FALSE,0
General Fund,IT Enterprise Infrastructure M,Direct Expenses,Phone Lines,70800,0,FALSE,0
General Fund,IT Enterprise Infrastructure M,Direct Expenses,Professional Svcs-Other,467000,-124853.75,FALSE,0
General Fund,IT Enterprise Infrastructure M,Direct Expenses,Rsv-Wide Area Network,1139418,123400,FALSE,0
General Fund,IT Enterprise Infrastructure M,Direct Expenses,Wan Data Line,394611,188000,FALSE,0
General Fund,IT Enterprise Infrastructure M,Employee Benefits,Dental Insurance,12566.4,-1307.88,FALSE,0
General Fund,IT Enterprise Infrastructure M,Employee Benefits,Dental Insurance Increment,,1154.34,FALSE,0
General Fund,IT Enterprise Infrastructure M,Employee Benefits,FICA Temp,1364,0,FALSE,0
General Fund,IT Enterprise Infrastructure M,Employee Benefits,Group Life Ad & Di,1245.3,-88.88,FALSE,0
General Fund,IT Enterprise Infrastructure M,Employee Benefits,Health Insurance,170658.24,-25214.88,FALSE,0
General Fund,IT Enterprise Infrastructure M,Employee Benefits,Health Insurance Increment,12628.72,27358.38,FALSE,0
General Fund,IT Enterprise Infrastructure M,Employee Benefits,Medicare,21556.49,61.04,FALSE,0
General Fund,IT Enterprise Infrastructure M,Employee Benefits,Medicare Temp,319,0,FALSE,0
General Fund,IT Enterprise Infrastructure M,Employee Benefits,Retirement,107782.52,3941.33,FALSE,0
General Fund,IT Enterprise Infrastructure M,Employee Benefits,Retirement Temp,1628,0,FALSE,0
General Fund,IT Enterprise Infrastructure M,Employee Benefits,Social Security,92172.64,261.01,FALSE,0
General Fund,IT Enterprise Infrastructure M,Employee Benefits,Supplemental Retirement,33470.83,6683.44,FALSE,0
General Fund,IT Enterprise Infrastructure M,Salaries and Wages,Longevity,10625.66,-9312.76,FALSE,0
General Fund,IT Enterprise Infrastructure M,Salaries and Wages,Salaries-Ft,1476029.76,13522.52,FALSE,0
General Fund,IT Enterprise Infrastructure M,Salaries and Wages,Salaries-Ot For Ft Staff,22000,0,FALSE,0
General Fund,IT Strategy & Planning,Direct Expenses,Cellular/Wireless Voice Lines,500,0,FALSE,0
General Fund,IT Strategy & Planning,Direct Expenses,Computer Lease,1164854,106450,FALSE,0
General Fund,IT Strategy & Planning,Direct Expenses,Computer Operations & Access,110300,-8251,FALSE,0
General Fund,IT Strategy & Planning,Direct Expenses,Copier Maintenance/Impressions,30000,0,FALSE,0
General Fund,IT Strategy & Planning,Direct Expenses,Electric Service,1000,0,FALSE,0
General Fund,IT Strategy & Planning,Direct Expenses,Motor Fuels & Lubricants,1200,0,FALSE,0
General Fund,IT Strategy & Planning,Direct Expenses,Motor Pool Vehicle Use Costs,1000,0,FALSE,0
General Fund,IT Strategy & Planning,Direct Expenses,Office Supplies,26200,-1400,FALSE,0
General Fund,IT Strategy & Planning,Direct Expenses,Operational & Maint Supplies,6345,5300,FALSE,0
General Fund,IT Strategy & Planning,Direct Expenses,Photocopy Maint,36900,14300,FALSE,0
General Fund,IT Strategy & Planning,Direct Expenses,Print Copy-Rmb,4317,0,FALSE,0
General Fund,IT Strategy & Planning,Direct Expenses,Professional Svcs-Other,33200,-176800,FALSE,0
General Fund,IT Strategy & Planning,Direct Expenses,Telephone/Comm (Hard Lines),247000,27000,FALSE,0
General Fund,IT Strategy & Planning,Direct Expenses,Uniforms,4500,0,FALSE,0
General Fund,IT Strategy & Planning,Direct Expenses,Vehicle Maint & Operation,4500,0,FALSE,0
General Fund,IT Strategy & Planning,Direct Expenses,Wireless Data Comm,40000,0,FALSE,0
General Fund,IT Strategy & Planning,Employee Benefits,Dental Insurance,5275.4,-831.56,FALSE,0
General Fund,IT Strategy & Planning,Employee Benefits,Dental Insurance Increment,,508.09,FALSE,0
General Fund,IT Strategy & Planning,Employee Benefits,Group Life Ad & Di,711.38,-72.4,FALSE,0
General Fund,IT Strategy & Planning,Employee Benefits,Health Insurance,67650.24,-17681.76,FALSE,0
General Fund,IT Strategy & Planning,Employee Benefits,Health Insurance Increment,5006.11,11423.07,FALSE,0
General Fund,IT Strategy & Planning,Employee Benefits,Medicare,11461.24,-1166.23,FALSE,0
General Fund,IT Strategy & Planning,Employee Benefits,Retirement,57306.17,-3654.06,FALSE,0
General Fund,IT Strategy & Planning,Employee Benefits,Social Security,49006.66,-4986.7,FALSE,0
General Fund,IT Strategy & Planning,Employee Benefits,Supplemental Retirement,17641.64,-2181.49,FALSE,0
General Fund,IT Strategy & Planning,Miscellaneous,Advertising,2500,0,FALSE,0
General Fund,IT Strategy & Planning,Miscellaneous,Licenses/Dues & Publications,187380,1500,FALSE,0
General Fund,IT Strategy & Planning,Miscellaneous,Mileage Reimb,6250,0,FALSE,0
General Fund,IT Strategy & Planning,Miscellaneous,Organization Dev & Training,1000,0,FALSE,0
General Fund,IT Strategy & Planning,Miscellaneous,Postage - Dept Charges,250,250,FALSE,0
General Fund,IT Strategy & Planning,Miscellaneous,Records Storage Retention Svcs,3500,0,FALSE,0
General Fund,IT Strategy & Planning,Miscellaneous,Training & Travel & Reg,124348,0,FALSE,0
General Fund,IT Strategy & Planning,Salaries and Wages,Longevity,7493.03,-6452.75,FALSE,0
General Fund,IT Strategy & Planning,Salaries and Wages,Salaries-Ft,782936.72,-73977.94,FALSE,0
General Fund,Land Development Services,Capital Equipment,Office Furniture & Equip,20000,20000,FALSE,0
General Fund,Land Development Services,Direct Expenses,Cellular/Wireless Voice Lines,6034.68,6034.68,FALSE,0
General Fund,Land Development Services,Direct Expenses,Computer Lease,19978.24,19978.24,FALSE,0
General Fund,Land Development Services,Direct Expenses,Computer Operations & Access,106790,106790,FALSE,0
General Fund,Land Development Services,Direct Expenses,Copier Maintenance/Impressions,10850,10850,FALSE,0
General Fund,Land Development Services,Direct Expenses,Credit Card Fees,184000,184000,FALSE,0
General Fund,Land Development Services,Direct Expenses,Equipment Usage Charge,4540,4540,FALSE,0
General Fund,Land Development Services,Direct Expenses,Motor Fuels & Lubricants,2500,2500,FALSE,0
General Fund,Land Development Services,Direct Expenses,Office Supplies,11030,11030,FALSE,0
General Fund,Land Development Services,Direct Expenses,Operational & Maint Supplies,5000,5000,FALSE,0
General Fund,Land Development Services,Direct Expenses,Photocopy Maint,10930,10930,FALSE,0
General Fund,Land Development Services,Direct Expenses,Print Copy-Rmb,8991.8,8991.8,FALSE,0
General Fund,Land Development Services,Direct Expenses,Professional Svcs-Other,25000,25000,FALSE,0
General Fund,Land Development Services,Direct Expenses,Small Equipment,3000,3000,FALSE,0
General Fund,Land Development Services,Direct Expenses,Telephone/Comm (Hard Lines),1842,1842,FALSE,0
General Fund,Land Development Services,Direct Expenses,Uniforms,1200,1200,FALSE,0
General Fund,Land Development Services,Direct Expenses,Vehicle Maint & Operation,5060,5060,FALSE,0
General Fund,Land Development Services,Direct Expenses,Wireless Data Comm,2279.52,2279.52,FALSE,0
General Fund,Land Development Services,Employee Benefits,Dental Insurance,25012,25012,FALSE,0
General Fund,Land Development Services,Employee Benefits,FICA Temp,37.2,37.2,FALSE,0
General Fund,Land Development Services,Employee Benefits,Group Life Ad & Di,2240.76,2240.76,FALSE,0
General Fund,Land Development Services,Employee Benefits,Health Insurance,270033.6,270033.6,FALSE,0
General Fund,Land Development Services,Employee Benefits,Health Insurance Increment,18384.09,18384.09,FALSE,0
General Fund,Land Development Services,Employee Benefits,Medicare,36101.53,36101.53,FALSE,0
General Fund,Land Development Services,Employee Benefits,Medicare Temp,8.7,8.7,FALSE,0
General Fund,Land Development Services,Employee Benefits,Retirement,180279.63,180279.63,FALSE,0
General Fund,Land Development Services,Employee Benefits,Social Security,154365.14,154365.14,FALSE,0
General Fund,Land Development Services,Employee Benefits,Supplemental Retirement,57436.33,57436.33,FALSE,0
General Fund,Land Development Services,Miscellaneous,Licenses/Dues & Publications,8000,8000,FALSE,0
General Fund,Land Development Services,Miscellaneous,Mileage Reimb,3040,3040,FALSE,0
General Fund,Land Development Services,Miscellaneous,Organization Dev & Training,10500,10500,FALSE,0
General Fund,Land Development Services,Miscellaneous,Postage - Dept Charges,2500,2500,FALSE,0
General Fund,Land Development Services,Miscellaneous,Training & Travel & Reg,27500,27500,FALSE,0
General Fund,Land Development Services,Salaries and Wages,Expense Allowance,600,600,FALSE,0
General Fund,Land Development Services,Salaries and Wages,Longevity,38244.37,38244.37,FALSE,0
General Fund,Land Development Services,Salaries and Wages,Salaries-Ft,2451516.35,2451516.35,FALSE,0
General Fund,Land Development Services,Salaries and Wages,Salaries-Pt Temp/Seasonal,15000,15000,FALSE,0
General Fund,Neighborhood Code Enforcement,Capital Equipment,Communications Equip,2347,0,FALSE,0
General Fund,Neighborhood Code Enforcement,Direct Expenses,Computer Lease,16000,-10000,FALSE,0
General Fund,Neighborhood Code Enforcement,Direct Expenses,Computer Operations & Access,101960,10000,FALSE,0
General Fund,Neighborhood Code Enforcement,Direct Expenses,Contractual Svcs-Other,25085,-10000,FALSE,0
General Fund,Neighborhood Code Enforcement,Direct Expenses,Copier Maintenance/Impressions,6724,0,FALSE,0
General Fund,Neighborhood Code Enforcement,Direct Expenses,Equipment Usage Charge,82880,15000,FALSE,0
General Fund,Neighborhood Code Enforcement,Direct Expenses,Motor Fuels & Lubricants,44305,-5000,FALSE,0
General Fund,Neighborhood Code Enforcement,Direct Expenses,Office Supplies,7500,0,FALSE,0
General Fund,Neighborhood Code Enforcement,Direct Expenses,Operational & Maint Supplies,3470,0,FALSE,0
General Fund,Neighborhood Code Enforcement,Direct Expenses,Photocopy Maint,4554,0,FALSE,0
General Fund,Neighborhood Code Enforcement,Direct Expenses,Print Copy-Rmb,2200,0,FALSE,0
General Fund,Neighborhood Code Enforcement,Direct Expenses,Vehicle Maint & Operation,45000,0,FALSE,0
General Fund,Neighborhood Code Enforcement,Direct Expenses,Wireless Data Comm,27000,0,FALSE,0
General Fund,Neighborhood Code Enforcement,Employee Benefits,Dental Insurance,21797.48,756.44,FALSE,0
General Fund,Neighborhood Code Enforcement,Employee Benefits,Dental Insurance Increment,,1750.61,FALSE,0
General Fund,Neighborhood Code Enforcement,Employee Benefits,Group Life Ad & Di,1536.93,27.97,FALSE,0
General Fund,Neighborhood Code Enforcement,Employee Benefits,Health Insurance,262152,12000,FALSE,0
General Fund,Neighborhood Code Enforcement,Employee Benefits,Health Insurance Increment,19399.25,38210.68,FALSE,0
General Fund,Neighborhood Code Enforcement,Employee Benefits,Medicare,24761.71,450.52,FALSE,0
General Fund,Neighborhood Code Enforcement,Employee Benefits,Retirement,123808.53,6444.03,FALSE,0
General Fund,Neighborhood Code Enforcement,Employee Benefits,Social Security,105877.65,1926.21,FALSE,0
General Fund,Neighborhood Code Enforcement,Employee Benefits,Supplemental Retirement,43854.81,556.17,FALSE,0
General Fund,Neighborhood Code Enforcement,Miscellaneous,Advertising,20000,0,FALSE,0
General Fund,Neighborhood Code Enforcement,Miscellaneous,Licenses/Dues & Publications,5000,0,FALSE,0
General Fund,Neighborhood Code Enforcement,Miscellaneous,Postage - Dept Charges,30221,0,FALSE,0
General Fund,Neighborhood Code Enforcement,Miscellaneous,Records Storage Retention Svcs,2000,0,FALSE,0
General Fund,Neighborhood Code Enforcement,Miscellaneous,Training & Travel & Reg,10000,0,FALSE,0
General Fund,Neighborhood Code Enforcement,Salaries and Wages,Longevity,32780.74,-642.62,FALSE,0
General Fund,Neighborhood Code Enforcement,Salaries and Wages,Salaries-Ft,1674923.33,31710.86,FALSE,0
General Fund,Office of Economic Development,Direct Expenses,Computer Lease,4212,1000,FALSE,0
General Fund,Office of Economic Development,Direct Expenses,Contractual Svcs-Other,5000,0,FALSE,0
General Fund,Office of Economic Development,Direct Expenses,Motor Pool Vehicle Use Costs,1600,0,FALSE,0
General Fund,Office of Economic Development,Direct Expenses,MWBE Business Expo,12000,6000,FALSE,0
General Fund,Office of Economic Development,Direct Expenses,Office Supplies,2400,200,FALSE,0
General Fund,Office of Economic Development,Direct Expenses,Operational & Maint Supplies,9290,0,FALSE,0
General Fund,Office of Economic Development,Direct Expenses,Print Copy-Rmb,5180,200,FALSE,0
General Fund,Office of Economic Development,Direct Expenses,Professional Svcs-Other,1000,0,FALSE,0
General Fund,Office of Economic Development,Employee Benefits,Dental Insurance,3668.8,-173.08,FALSE,0
General Fund,Office of Economic Development,Employee Benefits,Dental Insurance Increment,,319.64,FALSE,0
General Fund,Office of Economic Development,Employee Benefits,FICA Temp,111.6,0,FALSE,0
General Fund,Office of Economic Development,Employee Benefits,Group Life Ad & Di,362.9,-43.61,FALSE,0
General Fund,Office of Economic Development,Employee Benefits,Health Insurance,40788,2676,FALSE,0
General Fund,Office of Economic Development,Employee Benefits,Health Insurance Increment,1952.71,4818.73,FALSE,0
General Fund,Office of Economic Development,Employee Benefits,Medicare,5846.79,-702.57,FALSE,0
General Fund,Office of Economic Development,Employee Benefits,Medicare Temp,26.1,0,FALSE,0
General Fund,Office of Economic Development,Employee Benefits,Retirement,29079.91,-2537.7,FALSE,0
General Fund,Office of Economic Development,Employee Benefits,Social Security,25000.08,-3004.09,FALSE,0
General Fund,Office of Economic Development,Employee Benefits,Supplemental Retirement,10100.07,216,FALSE,0
General Fund,Office of Economic Development,Miscellaneous,Advertising,1150,0,FALSE,0
General Fund,Office of Economic Development,Miscellaneous,Licenses/Dues & Publications,2920,500,FALSE,0
General Fund,Office of Economic Development,Miscellaneous,Mileage Reimb,2250,500,FALSE,0
General Fund,Office of Economic Development,Miscellaneous,Training & Travel & Reg,57890,34000,FALSE,0
General Fund,Office of Economic Development,Salaries and Wages,Expense Allowance,2520,720,FALSE,0
General Fund,Office of Economic Development,Salaries and Wages,Longevity,4200.42,-4953.24,FALSE,0
General Fund,Office of Economic Development,Salaries and Wages,Salaries-Ft,399026.73,-43499.81,FALSE,0
General Fund,Office of Emerg Mgmt & Spec Ev,Capital Equipment,Office Furniture & Equip,3500,0,FALSE,0
General Fund,Office of Emerg Mgmt & Spec Ev,Direct Expenses,Cable Tv Services,,-300,FALSE,0
General Fund,Office of Emerg Mgmt & Spec Ev,Direct Expenses,Cellular/Wireless Voice Lines,,-1900,FALSE,0
General Fund,Office of Emerg Mgmt & Spec Ev,Direct Expenses,Computer Lease,2012,0,FALSE,0
General Fund,Office of Emerg Mgmt & Spec Ev,Direct Expenses,Contractual Svcs-Other,20000,0,FALSE,0
General Fund,Office of Emerg Mgmt & Spec Ev,Direct Expenses,Motor Fuels & Lubricants,1000,0,FALSE,0
General Fund,Office of Emerg Mgmt & Spec Ev,Direct Expenses,Office Supplies,2000,0,FALSE,0
General Fund,Office of Emerg Mgmt & Spec Ev,Direct Expenses,Operational & Maint Supplies,10385,8385,FALSE,0
General Fund,Office of Emerg Mgmt & Spec Ev,Direct Expenses,Print Copy-Rmb,1500,0,FALSE,0
General Fund,Office of Emerg Mgmt & Spec Ev,Direct Expenses,Telephone/Comm (Hard Lines),,-1200,FALSE,0
General Fund,Office of Emerg Mgmt & Spec Ev,Direct Expenses,Vehicle Maint & Operation,1500,0,FALSE,0
General Fund,Office of Emerg Mgmt & Spec Ev,Direct Expenses,Wireless Data Comm,4000,-3485,FALSE,0
General Fund,Office of Emerg Mgmt & Spec Ev,Employee Benefits,Dental Insurance,2313.04,543.8,FALSE,0
