Fund,Department,Type,Account,Current,Amount,Revenue,Annotation
General Fund,City Council,Salaries and Wages,Salaries-Ft,127000,8000,FALSE,0
General Fund,Human Resources,Direct Expenses,Management Services,50000,8000,FALSE,0
General Fund,Land Development Services,Miscellaneous,Licenses/Dues & Publications,8000,8000,FALSE,0
General Fund,Police Detective Division,Direct Expenses,Operatingional & Maint Supplies,74200,8000,FALSE,0
Utility Debt Service Fund,Treasury Office,Direct Expenses,Bond Re-Marketing Fees,100000,8000,FALSE,0
RCC/PAC Operatingions Fund,Performing Arts Center,Direct Expenses,Broadband/Internet Fees,9400,7900,FALSE,0
Grants Fund,Transit - Trans Svcs,Employee Benefits,Medicare,7825,7825,FALSE,0
Parking Facilities Fund-Operati,Parking Operatingions -Trans Sv,Direct Expenses,Cellular/Wireless Voice Lines,7800,7800,FALSE,0
Public Utilities Fund,Public Utilities Customer Care ,Direct Expenses,Office Supplies,7750,7750,FALSE,0
Public Utilities Fund,Public Utilities Customer Care ,Direct Expenses,Uniforms,7750,7750,FALSE,0
Solid Waste ServicesOperatingin,Solid Waste Admin,Employee Benefits,Social Security,96885,7735,FALSE,0
General Fund,Construction Mgmt,Employee Benefits,Health Insurance Increment,,7685,FALSE,0
General Fund,Transportation Services,Direct Expenses,Print Copy-Rmb,7650,7650,FALSE,0
General Fund,Purchasing,Miscellaneous,Training & Travel & Reg,16550,7550,FALSE,0
General Fund,Construction Mgmt-Eng Svcs,Employee Benefits,Health Insurance Increment,7526,7526,FALSE,0
General Fund,Construction Mgmt-Eng Svcs,Miscellaneous,Training & Travel & Reg,7500,7500,FALSE,0
General Fund,PRCR - Resources,Capital Equipment,Trucks-Light < 1 Ton,7500,7500,FALSE,0
Transit CAMPO Fund,CAMPO-Trans Svcs,Employee Benefits,Health Insurance Increment,7362,7362,FALSE,0
General Fund,Police Field Operatingions,Employee Benefits,Health Insurance,3970077,7361,FALSE,0
Transit CAMPO Fund,CAMPO-Trans Svcs,Direct Expenses,Copier Maintenance/Impressions,7350,7350,FALSE,0
General Fund,Transportation Services,Employee Benefits,Group Life Ad & Di,7343,7343,FALSE,0
Grants Fund,Transit - Trans Svcs,Salaries and Wages,Longevity,7342,7342,FALSE,0
Housing Development-Operatingin,Community Development,Interfund Transfers In/Out,To 501 ERP Debt Service,23014,7331,FALSE,0
General Fund,Police Detective Division,Employee Benefits,Supplemental Retire-Police,610443,7310,FALSE,0
General Fund,Finance Administration,Miscellaneous,Training & Travel & Reg,23400,7300,FALSE,0
General Fund,Fire Training,Employee Benefits,Retirement,51205,7263,FALSE,0
General Fund,Transportation Services,Miscellaneous,Licenses/Dues & Publications,7255,7255,FALSE,0
Solid Waste ServicesOperatingin,Solid Waste Admin,Miscellaneous,Professional Certification,7250,7250,FALSE,0
General Fund,City Clerk,Employee Benefits,Health Insurance,37848,7248,FALSE,0
General Fund,Building & Safety Services,Other Expense,To ISF-WC Excess Premium,7219,7219,FALSE,0
General Fund,Finance Administration,Employee Benefits,Social Security,28443,7166,FALSE,0
General Fund,Construction Mgmt-Eng Svcs,Direct Expenses,Computer Lease,7130,7130,FALSE,0
General Fund,Police Chiefs Office,Employee Benefits,Retirement,151049,7108,FALSE,0
Public Utilities Fund,Public Utilities Customer Care ,Direct Expenses,Rsv-Wide Area Network,7052,7052,FALSE,0
General Fund,Fire Support Svcs,Employee Benefits,Health Insurance,98088,7050,FALSE,0
Public Utilities Fund,Public Utilities Admin,Employee Benefits,Social Security,177437,7045,FALSE,0
General Fund,Emergency Communications,Direct Expenses,Operatingional & Maint Supplies,76178,7000,FALSE,0
General Fund,Housing & Neighborhoods Dept,Direct Expenses,Operatingional & Maint Supplies,7000,7000,FALSE,0
Transit CAMPO Fund,CAMPO-Trans Svcs,Direct Expenses,Computer Operatingions & Access,7000,7000,FALSE,0
General Fund,Development Engineering Servic,Direct Expenses,Wireless Data Comm,6984,6984,FALSE,0
General Fund,Park Facility Maintenance,Direct Expenses,Uniforms,6900,6900,FALSE,0
General Fund,Fire Training,Direct Expenses,Equipment Usage Charge,17832,6832,FALSE,0
General Fund,Police Field Operatingions,Employee Benefits,Retirement Temp,124838,6808,FALSE,0
Solid Waste ServicesOperatingin,Solid Waste Admin,Employee Benefits,Supplemental Retirement,30653,6766,FALSE,0
General Fund,PRCR - Parks -Park Maintenance,Direct Expenses,Small Equipment,59552,6764,FALSE,0
General Fund,Police Field Operatingions,Employee Benefits,Dental Insurance,330927,6718,FALSE,0
General Fund,PRCR - Strategic Plan & Devel,Miscellaneous,Training & Travel & Reg,25525,6700,FALSE,0
Transit CAMPO Fund,CAMPO-Trans Svcs,Direct Expenses,Photocopy Maint,6700,6700,FALSE,0
General Fund,IT Enterprise Infrastructure M,Employee Benefits,Supplemental Retirement,33471,6684,FALSE,0
General Fund,Engineering Services,Direct Expenses,Photocopy Maint,6606,6606,FALSE,0
Stormwater Utility Fund,Stormwater Mgmt-Eng Svcs,Salaries and Wages,Expense Allowance,6600,6600,FALSE,0
E 911 State Tax Fund-Operatingi,Emergency Communications,Employee Benefits,Health Insurance Increment,4052,6579,FALSE,0
General Fund,Stormwater St Maint-Tran Svcs,Other Expense,To ISF-Prop/Liab Claims,6552,6552,FALSE,0
General Fund,Engineering Services,Direct Expenses,Cellular/Wireless Voice Lines,6515,6515,FALSE,0
Transit CAMPO Fund,CAMPO-Trans Svcs,Direct Expenses,Wan Data Line,6500,6500,FALSE,0
Home Grant,Community Development,Employee Benefits,Health Insurance,6478,6478,FALSE,0
General Fund,Neighborhood Code Enforcement,Employee Benefits,Retirement,123809,6445,FALSE,0
Public Transit Fund-Operatingin,Accessible Rail Tran-Tran Svcs,Employee Benefits,Supplemental Retirement,6439,6439,FALSE,0
Solid Waste ServicesOperatingin,Solid Waste Residential Collec,Employee Benefits,Supplemental Retirement,83193,6412,FALSE,0
Grants Fund,PRCR - Business Process Mgmt,Employee Benefits,FICA Temp,6361,6361,FALSE,0
General Fund,Fire Operatingions,Employee Benefits,Retirement Temp,144161,6327,FALSE,0
Home Grant,Community Development,Employee Benefits,Retirement,6283,6283,FALSE,0
Community Development Block Gra,Community Development,Salaries and Wages,Longevity,6258,6258,FALSE,0
Public Utilities Fund,Neuse River Resc Recovery Fac,Employee Benefits,Medicare Temp,6255,6255,FALSE,0
General Fund,PRCR - Strategic Plan & Devel,Employee Benefits,Retirement,131731,6247,FALSE,0
Revolving Fund,PRCR - Recreation,Miscellaneous,Training & Travel & Reg,76096,6151,FALSE,0
Community Development Block Gra,Community Development,Employee Benefits,Dental Insurance,6104,6104,FALSE,0
General Fund,Budget & Management Services,Employee Benefits,Social Security,62662,6103,FALSE,0
General Fund,Emergency Communications,Employee Benefits,Medicare,75687,6068,FALSE,0
Transit CAMPO Fund,CAMPO-Trans Svcs,Salaries and Wages,Longevity,6053,6053,FALSE,0
General Fund,Land Development Services,Direct Expenses,Cellular/Wireless Voice Lines,6035,6035,FALSE,0
Public Utilities Fund,Public Utilities Capital Improv,Employee Benefits,FICA Temp,11385,6014,FALSE,0
General Fund,PRCR - Parks -Park Maintenance,Employee Benefits,Medicare,78205,6005,FALSE,0
General Fund,Building & Safety Services,Direct Expenses,Photocopy Maint,6000,6000,FALSE,0
General Fund,Human Resources,Miscellaneous,Records Storage Retention Svcs,12000,6000,FALSE,0
General Fund,Office of Economic Development,Direct Expenses,MWBE Business Expo,12000,6000,FALSE,0
General Fund,Stormwater St Maint-Tran Svcs,Miscellaneous,Landfill Charges,6000,6000,FALSE,0
Housing Development-Operatingin,Community Development,Miscellaneous,Advertising,10000,6000,FALSE,0
Public Utilities Fund,Public Utilities Water Distribu,Miscellaneous,Licenses/Dues & Publications,11615,6000,FALSE,0
Stormwater Utility Fund,Stormwater Mgmt-Eng Svcs,Direct Expenses,Office Supplies,6000,6000,FALSE,0
Transit CAMPO Fund,CAMPO-Trans Svcs,Miscellaneous,Advertising,6000,6000,FALSE,0
Solid Waste ServicesOperatingin,Solid Waste Residential Collec,Employee Benefits,Social Security,293721,5992,FALSE,0
General Fund,Development Services,Direct Expenses,Equipment Usage Charge,5947,5947,FALSE,0
General Fund,PRCR - Parks - Greenway Maint,Employee Benefits,Retirement,83065,5942,FALSE,0
General Fund,Facilities Maint-Eng Svcs,Direct Expenses,Office Supplies,5930,5930,FALSE,0
General Fund,Information Technology Admin,Employee Benefits,Retirement,64414,5901,FALSE,0
General Fund,Emergency Communications,Direct Expenses,Small Equipment,8265,5900,FALSE,0
Parking Facilities Fund-Operati,Parking Operatingions -Trans Sv,Direct Expenses,Office Supplies,5900,5900,FALSE,0
General Fund,PRCR - Resources,Direct Expenses,Print Copy-Rmb,23234,5895,FALSE,0
Public Transit Fund-Operatingin,Transit Operatingions -Trans Sv,Other Expense,To Isf-Sir Workers Comp,5893,5893,FALSE,0
Public Utilities Fund,Public Utilities Sewer Maintena,Direct Expenses,Small Equipment,145920,5875,FALSE,0
General Fund,Public Affairs-RTN,Employee Benefits,Retirement,34736,5858,FALSE,0
General Fund,Fire Support Svcs,Direct Expenses,Repairs-Other Equip,107100,5800,FALSE,0
General Fund,Construction Mgmt-Eng Svcs,Direct Expenses,Motor Fuels & Lubricants,5795,5795,FALSE,0
General Fund,Purchasing,Employee Benefits,Health Insurance Increment,2723,5792,FALSE,0
Housing Development-Operatingin,Community Development,Interfund Transfers In/Out,To 501 Technology Cap Proj,11063,5743,FALSE,0
Public Utilities Fund,Public Utilities Sewer Maintena,Employee Benefits,Dental Insurance Increment,,5694,FALSE,0
General Fund,Fire Support Svcs,Salaries and Wages,Salaries-Ft,659822,5673,FALSE,0
General Fund,PRCR - Parks -Park Maintenance,Employee Benefits,Dental Insurance Increment,,5667,FALSE,0
General Fund,Facilities Maint-Eng Svcs,Direct Expenses,Repairs-Other Equip,5631,5631,FALSE,0
General Fund,Design Development-Eng Svcs,Employee Benefits,Retirement,5629,5629,FALSE,0
General Fund,Public Affairs,Employee Benefits,Dental Insurance,12732,5624,FALSE,0
General Fund,Engineering Services,Direct Expenses,Repairs-Other Equip,5620,5620,FALSE,0
General Fund,Park Facility Maintenance,Direct Expenses,Electric Service,5620,5620,FALSE,0
General Fund,PRCR - Parks -Park Maintenance,Direct Expenses,Pest Control Service,11600,5600,FALSE,0
General Fund,Transportation Services,Interfund Transfers In/Out,To 310 W/S Reimb,5600,5600,FALSE,0
General Fund,PRCR - Recreation,Employee Benefits,Dental Insurance Increment,,5579,FALSE,0
Solid Waste ServicesOperatingin,Solid Waste Residential Collec,Employee Benefits,Dental Insurance Increment,,5548,FALSE,0
General Fund,Payroll,Employee Benefits,Health Insurance Increment,2599,5536,FALSE,0
General Fund,PRCR - Parks - Cemetery Maint,Direct Expenses,Equipment Repair Parts,6000,5500,FALSE,0
Transit CAMPO Fund,CAMPO-Trans Svcs,Direct Expenses,Equipment Usage Charge,5500,5500,FALSE,0
General Fund,IT Customer Relationship Mgt,Employee Benefits,Social Security,46056,5491,FALSE,0
Public Utilities Fund,Public Utilities Sewer Maintena,Employee Benefits,Dental Insurance,73945,5480,FALSE,0
Public Utilities Fund,Public Utilities Sewer Maintena,Employee Benefits,Medicare,68972,5471,FALSE,0
General Fund,Safelight-Tran Svcs,Employee Benefits,Retirement,5413,5413,FALSE,0
RCC/PAC Operatingions Fund,RCC Downtown Amphitheatre,Employee Benefits,Health Insurance Increment,2607,5404,FALSE,0
General Fund,Park Facility Maintenance,Interfund Transfers In/Out,To 310 W/S Reimb,5400,5400,FALSE,0
General Fund,Police Administrative Services,Employee Benefits,Supplemental Retirement,49503,5380,FALSE,0
Home Grant,Community Development,Employee Benefits,Social Security,5373,5373,FALSE,0
General Fund,Fire Operatingions,Employee Benefits,Dental Insurance,379045,5365,FALSE,0
General Fund,PRCR - Parks - Cemetery Maint,Salaries and Wages,Salaries-Ft,138128,5335,FALSE,0
General Fund,Transportation Field Services,Employee Benefits,Dental Insurance Increment,,5322,FALSE,0
E 911 State Tax Fund-Operatingi,Emergency Communications,Employee Benefits,Retirement,34238,5319,FALSE,0
General Fund,Fire Operatingions,Employee Benefits,FICA Temp,120784,5301,FALSE,0
General Fund,IT Strategy & Planning,Direct Expenses,Operatingional & Maint Supplies,6345,5300,FALSE,0
Public Transit Fund-Operatingin,Accessible Rail Tran-Tran Svcs,Salaries and Wages,Longevity,5284,5284,FALSE,0
General Fund,Treasury Office,Employee Benefits,Health Insurance Increment,2519,5268,FALSE,0
Stormwater Utility Fund,Stormwater Mgmt-Eng Svcs,Other Expense,To ISF-WC Excess Premium,5241,5241,FALSE,0
Solid Waste ServicesOperatingin,Solid Waste Admin,Other Expense,To ISF-Prop/Liab Claims,155413,5217,FALSE,0
General Fund,Community Svcs,Other Expense,Volunteer Recognition - Gr,5200,5200,FALSE,0
Public Utilities Fund,Public Utilities Capital Improv,Direct Expenses,Equipment Usage Charge,62638,5190,FALSE,0
General Fund,Stormwater St Maint-Tran Svcs,Other Expense,To ISF-Prop/Liab Premium,5149,5149,FALSE,0
General Fund,Facilities Maint-Eng Svcs,Employee Benefits,Retirement Temp,5149,5149,FALSE,0
General Fund,Emergency Communications,Employee Benefits,Dental Insurance Increment,,5125,FALSE,0
Public Utilities Fund,Neuse River Resc Recovery Fac,Employee Benefits,Group Life Ad & Di,5117,5117,FALSE,0
General Fund,City Clerk,Employee Benefits,Health Insurance Increment,2801,5102,FALSE,0
Grants Fund,Transit - Trans Svcs,Employee Benefits,Dental Insurance,5069,5069,FALSE,0
General Fund,Land Development Services,Direct Expenses,Vehicle Maint & Operatingion,5060,5060,FALSE,0
General Fund,PRCR - Parks -Park Maintenance,Employee Benefits,Dental Insurance,74789,5051,FALSE,0
General Fund,PRCR - Parks - Greenway Maint,Direct Expenses,Service Contracts-Other,5050,5050,FALSE,0
Public Utilities Fund,Resource Recovery,Employee Benefits,Dental Insurance Increment,,5026,FALSE,0
Public Transit Fund-Operatingin,Transit Operatingions -Trans Sv,Direct Expenses,Wireless Data Comm,5004,5004,FALSE,0
General Fund,City Attorney,Miscellaneous,Training & Travel & Reg,30000,5000,FALSE,0
General Fund,City Clerk,Direct Expenses,City Code Contract,20000,5000,FALSE,0
General Fund,City Council,Capital Equipment,Office Furniture & Equip,10000,5000,FALSE,0
General Fund,Construction Mgmt-Eng Svcs,Direct Expenses,Computer Operatingions & Access,5000,5000,FALSE,0
General Fund,Fire Support Svcs,Direct Expenses,Antique Vehicle Repair/Maint,5000,5000,FALSE,0
General Fund,Fire-Hazmat Operatingions,Direct Expenses,Chemicals,10000,5000,FALSE,0
General Fund,Land Development Services,Direct Expenses,Operatingional & Maint Supplies,5000,5000,FALSE,0
General Fund,Planning,Direct Expenses,Appraisal/Environmental Assess,15000,5000,FALSE,0
General Fund,Planning,Direct Expenses,Contractual Svcs-Other,24000,5000,FALSE,0
General Fund,PRCR - Recreation-School Based,Direct Expenses,Small Equipment,5000,5000,FALSE,0
General Fund,Public Affairs-RTN,Miscellaneous,Training & Travel & Reg,6200,5000,FALSE,0
General Fund,Revenue,Direct Expenses,Repairs-Bldg/Structure,5000,5000,FALSE,0
General Fund,Safelight-Tran Svcs,Salaries and Wages,Occasional Employment,5000,5000,FALSE,0
General Fund,Transportation Services,Capital Equipment,Office Furniture & Equip,5000,5000,FALSE,0
General Fund,Transportation Services,Direct Expenses,Landscape/Grounds Maint Suppli,5000,5000,FALSE,0
General Fund,Transportation Services,Direct Expenses,Natural Gas Svc,5000,5000,FALSE,0
General Fund,Transportation Services,Direct Expenses,Pest Control Service,5000,5000,FALSE,0
General Fund,Transportation Services,Miscellaneous,Mileage Reimb,5000,5000,FALSE,0
Grants Fund,Fire Adm,Other Expense,To Isf-Sir Workers Comp,5000,5000,FALSE,0
Grants Fund,Transit - Trans Svcs,Miscellaneous,Advertising,5000,5000,FALSE,0
Parking Facilities Fund-Operati,Parking Operatingions -Trans Sv,Miscellaneous,Training & Travel & Reg,5000,5000,FALSE,0
Public Transit Fund-Operatingin,Accessible Rail Tran-Tran Svcs,Direct Expenses,Office Supplies,5000,5000,FALSE,0
Public Utilities Fund,Neuse River Resc Recovery Fac,Capital Equipment,Farm Equip,5000,5000,FALSE,0
Public Utilities Fund,Neuse River Resc Recovery Fac,Capital Equipment,Office Furniture & Equip,5000,5000,FALSE,0
Public Utilities Fund,Public Utilities Capital Improv,Direct Expenses,Motor Pool Vehicle Use Costs,6000,5000,FALSE,0
Public Utilities Fund,Public Utilities Water Distribu,Direct Expenses,Computer Operatingions & Access,7050,5000,FALSE,0
Public Utilities Fund,Public Utilities Admin,Direct Expenses,Operatingional & Maint Supplies,54450,5000,FALSE,0
Public Utilities Fund,Public Utilities Admin,Miscellaneous,Promotions,22000,5000,FALSE,0
RCC/PAC Operatingions Fund,Performing Arts Center,Miscellaneous,Training & Travel & Reg,11500,5000,FALSE,0
Revolving Fund,Fire Training,Direct Expenses,Repairs-Other Equip,10000,5000,FALSE,0
Stormwater Utility Fund,Stormwater Mgmt-Eng Svcs,Employee Benefits,Medicare Supplement,5000,5000,FALSE,0
Solid Waste ServicesOperatingin,Solid Waste Yardwaste Ctr,Salaries and Wages,Holiday Pay,11000,5000,FALSE,0
Transit CAMPO Fund,CAMPO-Trans Svcs,Capital Equipment,Office Furniture & Equip,5000,5000,FALSE,0
Transit CAMPO Fund,CAMPO-Trans Svcs,Miscellaneous,Organization Dev & Training,5000,5000,FALSE,0
Transit CAMPO Fund,CAMPO-Trans Svcs,Salaries and Wages,Expense Allowance,5000,5000,FALSE,0
RCC/PAC Operatingions Fund,RCC/PAC Special Events,Salaries and Wages,Event Production Personnel-Tem,30000,5000,FALSE,0
General Fund,Office of the Fire Marshall,Employee Benefits,Social Security,148882,4974,FALSE,0
General Fund,Emergency Communications,Employee Benefits,Dental Insurance,67075,4967,FALSE,0
Public Utilities Fund,Public Utilities Water Distribu,Employee Benefits,Dental Insurance Increment,,4959,FALSE,0
General Fund,Engineering Services,Miscellaneous,Licenses/Dues & Publications,4940,4940,FALSE,0
General Fund,Fire Adm,Other Expense,To ISF-WC Excess Premium,76227,4934,FALSE,0
General Fund,City Attorney,Employee Benefits,Social Security,137277,4906,FALSE,0
General Fund,Public Works,Employee Benefits,Dental Insurance Increment,,4890,FALSE,0
General Fund,PRCR - Recreation,Employee Benefits,Medicare,89985,4875,FALSE,0
General Fund,Fire Training,Employee Benefits,Social Security,43789,4869,FALSE,0
General Fund,Fire Adm,Employee Benefits,Retirement,54246,4850,FALSE,0
Public Utilities Fund,Neuse River Resc Recovery Fac,Direct Expenses,Pest Control Service,4820,4820,FALSE,0
General Fund,Office of Economic Development,Employee Benefits,Health Insurance Increment,1953,4819,FALSE,0
General Fund,Design Development-Eng Svcs,Employee Benefits,Social Security,4814,4814,FALSE,0
Public Utilities Fund,Public Utilities Capital Improv,Employee Benefits,Retirement Temp,4810,4810,FALSE,0
Public Utilities Fund,Public Utilities Admin,Direct Expenses,Motor Pool Vehicle Use Costs,5800,4800,FALSE,0
General Fund,Police Special Operatingions,Employee Benefits,Dental Insurance Increment,,4786,FALSE,0
General Fund,PRCR - Parks - Urban Trees,Salaries and Wages,Longevity,12905,4777,FALSE,0
General Fund,Housing & Neighborhoods Dept,Employee Benefits,Medicare,5786,4772,FALSE,0
General Fund,Construction Mgmt-Eng Svcs,Direct Expenses,Equipment Usage Charge,4760,4760,FALSE,0
General Fund,IT Application Support,Employee Benefits,Supplemental Retirement,64321,4707,FALSE,0
Public Utilities Fund,Public Utilities Water Plant,Employee Benefits,Dental Insurance Increment,,4691,FALSE,0
General Fund,Police Administrative Services,Other Expense,To ISF-WC Excess Premium,141221,4672,FALSE,0
General Fund,Police Administrative Services,Employee Benefits,Dental Insurance,50222,4636,FALSE,0
General Fund,Safelight-Tran Svcs,Employee Benefits,Social Security,4629,4629,FALSE,0
General Fund,Construction Mgmt-Eng Svcs,Direct Expenses,Photocopy Maint,4626,4626,FALSE,0
General Fund,PRCR - Resources,Employee Benefits,Medicare,40170,4615,FALSE,0
General Fund,Public Affairs,Employee Benefits,Medicare,17263,4615,FALSE,0
General Fund,PRCR - Parks - Cemetery Maint,Employee Benefits,Health Insurance,24321,4608,FALSE,0
General Fund,City Council,Employee Benefits,Health Insurance,57600,4600,FALSE,0
General Fund,Stormwater St Maint-Tran Svcs,Employee Benefits,Retirement Temp,4588,4588,FALSE,0
General Fund,Design Development-Eng Svcs,Employee Benefits,Health Insurance,4584,4584,FALSE,0
General Fund,Planning,Direct Expenses,Wireless Data Comm,16194,4564,FALSE,0
General Fund,Office of Emerg Mgmt & Spec Ev,Employee Benefits,Retirement,17588,4552,FALSE,0
General Fund,Land Development Services,Direct Expenses,Equipment Usage Charge,4540,4540,FALSE,0
Public Transit Fund-Operatingin,Accessible Raleigh Transit,Employee Benefits,Health Insurance Increment,,4514,FALSE,0
Stormwater Utility Fund,Stormwater Mgmt-Eng Svcs,Direct Expenses,Repairs-Other Equip,4500,4500,FALSE,0
General Fund,Park Facility Maintenance,Direct Expenses,Repairs-Other Equip,4495,4495,FALSE,0
Parking Facilities Fund-Operati,Parking Operatingions -Trans Sv,Other Expense,To ISF-WC Excess Premium,4476,4476,FALSE,0
General Fund,Facilities Maint-Eng Svcs,Direct Expenses,Chemicals,4414,4414,FALSE,0
Public Transit Fund-Operatingin,Transit Operatingions -Trans Sv,Miscellaneous,Records Storage Retention Svcs,4400,4400,FALSE,0
General Fund,Public Affairs,Direct Expenses,Computer Lease,14392,4371,FALSE,0
General Fund,Human Resources,Direct Expenses,Computer Lease,22631,4362,FALSE,0
General Fund,Facilities Maint-Eng Svcs,Employee Benefits,FICA Temp,4348,4348,FALSE,0
General Fund,Internal Audit Office,Employee Benefits,Health Insurance Increment,2056,4333,FALSE,0
Public Transit Fund-Operatingin,Accessible Rail Tran-Tran Svcs,Employee Benefits,Dental Insurance,4317,4317,FALSE,0
General Fund,Building & Safety Services,Direct Expenses,Office Supplies,4300,4300,FALSE,0
General Fund,Engineering Services,Direct Expenses,Small Equipment,4300,4300,FALSE,0
General Fund,Safelight-Tran Svcs,Miscellaneous,Advertising,4300,4300,FALSE,0
Public Utilities Fund,Public Utilities Water Plant,Employee Benefits,Supplemental Retirement,91815,4292,FALSE,0
General Fund,Transportation Services,Employee Benefits,Medicare Temp,4241,4241,FALSE,0
Community Development Block Gra,Community Development,Employee Benefits,Health Insurance Increment,4219,4219,FALSE,0
Public Transit Fund-Operatingin,Accessible Rail Tran-Tran Svcs,Employee Benefits,Health Insurance Increment,4218,4218,FALSE,0
General Fund,Human Resources,Direct Expenses,Equipment Usage Charge,9100,4200,FALSE,0
General Fund,Public Affairs-RTN,Employee Benefits,Social Security,29768,4191,FALSE,0
General Fund,City Clerk,Employee Benefits,Retirement,27186,4180,FALSE,0
General Fund,PRCR - Parks - Urban Trees,Employee Benefits,Supplemental Retirement,17196,4177,FALSE,0
General Fund,Office of Sustainability,Employee Benefits,Health Insurance Increment,1683,4162,FALSE,0
General Fund,Development Engineering Servic,Direct Expenses,Operatingional & Maint Supplies,4150,4150,FALSE,0
General Fund,Office of the Fire Marshall,Direct Expenses,Equipment Usage Charge,74120,4140,FALSE,0
General Fund,PRCR - Parks - Cemetery Maint,Direct Expenses,Contractual Svcs-Other,5000,4126,FALSE,0
Parking Facilities Fund-Operati,Parking Operatingions -Trans Sv,Employee Benefits,FICA Temp,4113,4113,FALSE,0
General Fund,PRCR - Resources,Employee Benefits,FICA Temp,75955,4102,FALSE,0
RCC/PAC Operatingions Fund,Performing Arts Center,Employee Benefits,Social Security,105780,4100,FALSE,0
General Fund,City Clerk,Direct Expenses,Computer Operatingions & Access,8600,4100,FALSE,0
Parking Facilities Fund-Operati,Parking Operatingions -Trans Sv,Direct Expenses,Small Equipment,4100,4100,FALSE,0
Public Utilities Fund,Public Utilities Capital Improv,Direct Expenses,Uniforms,8875,4100,FALSE,0
General Fund,IT Customer Relationship Mgt,Employee Benefits,Health Insurance,97248,4083,FALSE,0
General Fund,Housing & Neighborhoods Dept,Employee Benefits,Supplemental Retirement,9344,4047,FALSE,0
Public Utilities Fund,Public Utilities Admin,Direct Expenses,Uniforms,9800,4025,FALSE,0
Public Utilities Fund,Public Utilities Admin,Employee Benefits,Supplemental Retirement,63577,4021,FALSE,0
General Fund,Building & Safety Services,Employee Benefits,Group Life Ad & Di,4001,4001,FALSE,0
General Fund,Planning,Miscellaneous,Records Storage Retention Svcs,4000,4000,FALSE,0
General Fund,Stormwater St Maint-Tran Svcs,Direct Expenses,Contractual Svcs-Other,4000,4000,FALSE,0
General Fund,Transportation Services,Direct Expenses,Repairs-Other Equip,4000,4000,FALSE,0
Grants Fund,Fire Adm,Direct Expenses,Small Equipment,4000,4000,FALSE,0
Public Utilities Fund,Neuse River Resc Recovery Fac,Direct Expenses,Vehicle Repair Supplies,4000,4000,FALSE,0
Public Utilities Fund,Public Utilities Capital Improv,Direct Expenses,Small Equipment,6000,4000,FALSE,0
RCC/PAC Operatingions Fund,RCC Downtown Amphitheatre,Miscellaneous,Training & Travel & Reg,8000,4000,FALSE,0
Grants Fund,Transit - Trans Svcs,Employee Benefits,Health Insurance Increment,3998,3998,FALSE,0
Public Transit Fund-Operatingin,Accessible Rail Tran-Tran Svcs,Employee Benefits,Medicare,3993,3993,FALSE,0
General Fund,Fire Adm,Employee Benefits,Health Insurance,82161,3975,FALSE,0
General Fund,IT Enterprise Infrastructure M,Employee Benefits,Retirement,107783,3942,FALSE,0
Public Transit Fund-Operatingin,Transit Operatingions -Trans Sv,Interfund Transfers In/Out,To 501 Technology Cap Proj,3938,3938,FALSE,0
General Fund,Finance Administration,Employee Benefits,Health Insurance Increment,2299,3933,FALSE,0
Public Transit Fund-Operatingin,Accessible Rail Tran-Tran Svcs,Other Expense,To ISF-Prop/Liab Premium,3904,3904,FALSE,0
Public Utilities Fund,Public Utilities Facilities Sup,Salaries and Wages,Salaries-Ft,598922,3885,FALSE,0
General Fund,PRCR - Parks -Park Maintenance,Direct Expenses,Wireless Data Comm,37654,3879,FALSE,0
General Fund,Stormwater St Maint-Tran Svcs,Employee Benefits,FICA Temp,3844,3844,FALSE,0
General Fund,Office of Emerg Mgmt & Spec Ev,Employee Benefits,Health Insurance Increment,2263,3825,FALSE,0
General Fund,City Council,Employee Benefits,Supplemental Retirement,3810,3810,FALSE,0
Public Utilities Fund,Public Utilities Meters,Employee Benefits,Dental Insurance Increment,,3808,FALSE,0
General Fund,Police Administrative Services,Employee Benefits,Dental Insurance Increment,,3793,FALSE,0
General Fund,Human Resources,Employee Benefits,Medicare,33215,3776,FALSE,0
Public Transit Fund-Operatingin,Transit Operatingions -Trans Sv,Employee Benefits,Supplemental Retirement,3760,3760,FALSE,0
General Fund,Facilities Maint-Eng Svcs,Miscellaneous,Licenses/Dues & Publications,3727,3727,FALSE,0
Revolving Fund,Fire Adm,Employee Benefits,Retirement Temp,3700,3700,FALSE,0
General Fund,PRCR - Recreation,Direct Expenses,Photocopy Maint,24951,3682,FALSE,0
E 911 State Tax Fund-Operatingi,Emergency Communications,Employee Benefits,Social Security,29280,3666,FALSE,0
General Fund,PRCR - Parks - Greenway Maint,Salaries and Wages,Salaries-Ot For Ft Staff,10000,3601,FALSE,0
Parking Facilities Fund-Operati,Parking Operatingions -Trans Sv,Direct Expenses,Rsv-Wide Area Network,3600,3600,FALSE,0
General Fund,Office of Emerg Mgmt & Spec Ev,Employee Benefits,Social Security,15110,3589,FALSE,0
General Fund,PRCR - Resources,Direct Expenses,Wireless Data Comm,11023,3566,FALSE,0
Public Transit Fund-Operatingin,Accessible Rail Tran-Tran Svcs,Other Expense,To ISF-Prop/Liab Claims,3554,3554,FALSE,0
General Fund,Treasury Office,Employee Benefits,Retirement,23271,3525,FALSE,0
