LEVEL1,LEVEL2,LEVEL3,LEVEL4,TOOLTIP,SOURCE,SOURCE URL,2012,2013,2014,2015,2016,2017,LEVEL
General Fund,Fire Training,Direct Expenses,Small Equipment,,,,21200,21200,21200,41200,21200,51200,4
General Fund,Fire Training,Direct Expenses,Special Projects & Programs,,,,80964,80964,80964,98737,98737,98737.35,4
General Fund,Fire Training,Direct Expenses,Telephone/Comm (Hard Lines),,,,1200,1200,60,60,60,,4
General Fund,Fire Training,Direct Expenses,Training Supplies,,,,63500,63500,63500,58500,54500,47000,4
General Fund,Fire Training,Direct Expenses,Uniforms,,,,26420,26420,26420,18500,11500,10000,4
General Fund,Fire Training,Direct Expenses,Wan Data Line,,,,4212,4212,4212,3875,3875,3875,4
General Fund,Fire Training,Direct Expenses Total,,,,,351230,407170,412324,455303,529796.48,563781.59,3
General Fund,Fire Training,Employee Benefits,457 Plan Offset,,,,-4322,,,,,,4
General Fund,Fire Training,Employee Benefits,Dental Insurance,,,,3188.12,3967.6,3533.52,4516.8,5877.36,6800.16,4
General Fund,Fire Training,Employee Benefits,Dental Insurance Increment,,,,,79.35,,,-489,,4
General Fund,Fire Training,Employee Benefits,FICA Temp,,,,1029.2,,1044.64,1044.64,1365.05,1365.05,4
General Fund,Fire Training,Employee Benefits,Group Life Ad & Di,,,,392.88,392.19,399.56,546.98,564.96,635.65,4
General Fund,Fire Training,Employee Benefits,Health Insurance,,,,64272,74503,66072,62916,68646.24,80202.24,4
General Fund,Fire Training,Employee Benefits,Health Insurance Increment,,,,-5812,-12044.73,-9177.4,-3743.5,-5162.2,5934.97,4
General Fund,Fire Training,Employee Benefits,Medicare,,,,6329.78,6318.76,6437.42,8812.58,9102.24,10240.94,4
General Fund,Fire Training,Employee Benefits,Medicare Temp,,,,240.7,,244.31,244.31,319.25,319.25,4
General Fund,Fire Training,Employee Benefits,Retirement,,,,30033.72,29371.33,31387.94,42968.91,43941.91,51204.69,4
General Fund,Fire Training,Employee Benefits,Retirement Temp,,,,,,,,370,370,4
General Fund,Fire Training,Employee Benefits,Social Security,,,,27065.27,27018.13,27525.49,37681.36,38919.97,43788.82,4
General Fund,Fire Training,Employee Benefits,Supplemental Retirement,,,,13096.11,8715.53,8879.2,17729.4,16459.92,18498.48,4
General Fund,Fire Training,Employee Benefits Total,,,,,135513.78,138321.16,136346.68,172717.48,179915.7,219360.25,3
General Fund,Fire Training,Miscellaneous,Advertising,,,,12000,11000,11000,6000,2000,2000,4
General Fund,Fire Training,Miscellaneous,Licenses/Dues & Publications,,,,5039,5039,1339,1339,,,4
General Fund,Fire Training,Miscellaneous,Training & Travel & Reg,,,,17530,20530,26530,26530,33530,27530,4
General Fund,Fire Training,Miscellaneous Total,,,,,34569,36569,38869,33869,35530,29530,3
General Fund,Fire Training,Salaries and Wages,Earnings Offset,,,,-1519,,,6354,,,4
General Fund,Fire Training,Salaries and Wages,Longevity,,,,13869.59,12378.79,12554.21,14658.37,15911.8,18387.9,4
General Fund,Fire Training,Salaries and Wages,Merit Increase,,,,1518.97,11.5,26.03,4.08,,,4
General Fund,Fire Training,Salaries and Wages,Range Increase,,,,21.9,11.5,26.03,4.08,,,4
General Fund,Fire Training,Salaries and Wages,Salaries-Ft,,,,421126.24,423374.55,431353.3,593097.29,611829.75,687883.75,4
General Fund,Fire Training,Salaries and Wages,Salaries-Ot For Ft Staff,,,,,,,5000,5000,5000,4
General Fund,Fire Training,Salaries and Wages,Salaries-Pt Temp/Seasonal,,,,16600,16600,16849,16849,17017,17017,4
General Fund,Fire Training,Salaries and Wages Total,,,,,451617.7,452376.34,460808.57,635966.82,649758.55,728288.65,3
General Fund,Fire Training Total,,,,,,988930.48,1052936.5,1066848.25,1317856.3,1415000.73,1550960.49,2
General Fund,Fire-Hazmat Operations,Direct Expenses,Cellular/Wireless Voice Lines,,,,200,200,800,800,800,2800,4
General Fund,Fire-Hazmat Operations,Direct Expenses,Chemicals,,,,,5000,5000,5000,5000,10000,4
General Fund,Fire-Hazmat Operations,Direct Expenses,Computer Lease,,,,545,545,620,272,,,4
General Fund,Fire-Hazmat Operations,Direct Expenses,Hazmat Supplies,,,,39000,39000,39000,39000,39000,39000,4
General Fund,Fire-Hazmat Operations,Direct Expenses,Office Supplies,,,,2250,2250,2250,2250,2250,2250,4
General Fund,Fire-Hazmat Operations,Direct Expenses,Repairs-Other Equip,,,,15000,16500,16500,16500,16500,16500,4
General Fund,Fire-Hazmat Operations,Direct Expenses,Small Equipment,,,,6500,7500,7500,7500,7500,7500,4
General Fund,Fire-Hazmat Operations,Direct Expenses,Wireless Data Comm,,,,480,480,1680,2000,2000,,4
General Fund,Fire-Hazmat Operations,Direct Expenses Total,,,,,63975,71475,73350,73322,73050,78050,3
General Fund,Fire-Hazmat Operations,Employee Benefits,457 Plan Offset,,,,-895,,,,,,4
General Fund,Fire-Hazmat Operations,Employee Benefits,Dental Insurance,,,,325,328.64,327.6,,,,4
General Fund,Fire-Hazmat Operations,Employee Benefits,Dental Insurance Increment,,,,,6.57,,,,,4
General Fund,Fire-Hazmat Operations,Employee Benefits,Group Life Ad & Di,,,,81.36,82.27,83.67,,,,4
General Fund,Fire-Hazmat Operations,Employee Benefits,Health Insurance,,,,5694,5538,5520,,,,4
General Fund,Fire-Hazmat Operations,Employee Benefits,Health Insurance Increment,,,,-515,-895.43,-766.73,,,,4
General Fund,Fire-Hazmat Operations,Employee Benefits,Medicare,,,,1310.81,1325.42,1348.05,,,,4
General Fund,Fire-Hazmat Operations,Employee Benefits,Retirement,,,,6219.56,6160.92,6572.89,,,,4
General Fund,Fire-Hazmat Operations,Employee Benefits,Social Security,,,,5604.84,5667.31,5764.06,,,,4
General Fund,Fire-Hazmat Operations,Employee Benefits,Supplemental Retirement,,,,2712.02,1828.17,1859.38,,,,4
General Fund,Fire-Hazmat Operations,Employee Benefits Total,,,,,20537.59,20041.87,20708.92,,,,3
General Fund,Fire-Hazmat Operations,Miscellaneous,Licenses/Dues & Publications,,,,2495,2495,2520,4220,4200,4200,4
General Fund,Fire-Hazmat Operations,Miscellaneous,Training & Travel & Reg,,,,6750,6750,6750,6750,6750,6750,4
General Fund,Fire-Hazmat Operations,Miscellaneous Total,,,,,9245,9245,9270,10970,10950,10950,3
General Fund,Fire-Hazmat Operations,Salaries and Wages,Earnings Offset,,,,-262,,,,,,4
General Fund,Fire-Hazmat Operations,Salaries and Wages,Longevity,,,,3633,3683.97,3746.58,,,,4
General Fund,Fire-Hazmat Operations,Salaries and Wages,Merit Increase,,,,262.34,5.32,8.92,,,,4
General Fund,Fire-Hazmat Operations,Salaries and Wages,Range Increase,,,,5.25,5.32,8.92,,,,4
General Fund,Fire-Hazmat Operations,Salaries and Wages,Salaries-Ft,,,,86500,87713.64,89204.36,,,,4
General Fund,Fire-Hazmat Operations,Salaries and Wages Total,,,,,90138.59,91408.25,92968.78,,,,3
General Fund,Fire-Hazmat Operations Total,,,,,,183896.18,192170.12,196297.7,84292,84000,89000,2
General Fund,Housing & Neighborhoods Dept,Direct Expenses,Computer Lease,,,,,,,,,500,4
General Fund,Housing & Neighborhoods Dept,Direct Expenses,Operational & Maint Supplies,,,,,,,,,7000,4
General Fund,Housing & Neighborhoods Dept,Direct Expenses Total,,,,,,,,,,7500,3
General Fund,Housing & Neighborhoods Dept,Employee Benefits,Dental Insurance,,,,,,,,933.08,2563.16,4
General Fund,Housing & Neighborhoods Dept,Employee Benefits,Dental Insurance Increment,,,,,,,,-77.63,,4
General Fund,Housing & Neighborhoods Dept,Employee Benefits,FICA Temp,,,,,,,,243.16,,4
General Fund,Housing & Neighborhoods Dept,Employee Benefits,Group Life Ad & Di,,,,,,,,166.3,359.14,4
General Fund,Housing & Neighborhoods Dept,Employee Benefits,Health Insurance,,,,,,,,11736,27588,4
General Fund,Housing & Neighborhoods Dept,Employee Benefits,Health Insurance Increment,,,,,,,,-882.55,2041.51,4
General Fund,Housing & Neighborhoods Dept,Employee Benefits,Medicare,,,,,,,,1013.55,5785.9,4
General Fund,Housing & Neighborhoods Dept,Employee Benefits,Medicare Temp,,,,,,,,56.87,,4
General Fund,Housing & Neighborhoods Dept,Employee Benefits,Retirement,,,,,,,,12934.66,28803.52,4
General Fund,Housing & Neighborhoods Dept,Employee Benefits,Social Security,,,,,,,,4333.81,24739.73,4
General Fund,Housing & Neighborhoods Dept,Employee Benefits,Supplemental Retirement,,,,,,,,5296.58,9344.16,4
General Fund,Housing & Neighborhoods Dept,Employee Benefits Total,,,,,,,,,35753.83,101225.12,3
General Fund,Housing & Neighborhoods Dept,Miscellaneous,Licenses/Dues & Publications,,,,,,,,,2500,4
General Fund,Housing & Neighborhoods Dept,Miscellaneous,Training & Travel & Reg,,,,,,,,,2500,4
General Fund,Housing & Neighborhoods Dept,Miscellaneous Total,,,,,,,,,,5000,3
General Fund,Housing & Neighborhoods Dept,Salaries and Wages,Expense Allowance,,,,,,,,3922,,4
General Fund,Housing & Neighborhoods Dept,Salaries and Wages,Longevity,,,,,,,,1370.59,2548.65,4
General Fund,Housing & Neighborhoods Dept,Salaries and Wages,Salaries-Ft,,,,,,,,183410.27,396479.11,4
General Fund,Housing & Neighborhoods Dept,Salaries and Wages Total,,,,,,,,,188702.86,399027.76,3
General Fund,Housing & Neighborhoods Dept Total,,,,,,,,,,224456.69,512752.88,2
General Fund,Human Resources,Capital Equipment,Office Furniture & Equip,,,,,,,,,3000,4
General Fund,Human Resources,Capital Equipment Total,,,,,,,,,,3000,3
General Fund,Human Resources,Direct Expenses,Cellular/Wireless Voice Lines,,,,600,960,960,960,960,960,4
General Fund,Human Resources,Direct Expenses,Computer Lease,,,,22837,22837,17396,18269.12,18269.12,22631,4
General Fund,Human Resources,Direct Expenses,Computer Operations & Access,,,,26967,26967,6167,5542,5542,2500,4
General Fund,Human Resources,Direct Expenses,Contractual Svcs-Other,,,,75146,160196,214196,227750,227750,378250,4
General Fund,Human Resources,Direct Expenses,Copier Maintenance/Impressions,,,,,,6744,6744,6744,6744,4
General Fund,Human Resources,Direct Expenses,Equipment Usage Charge,,,,6000,6000,6000,10900,4900,9100,4
General Fund,Human Resources,Direct Expenses,Management Services,,,,,,42000,42000,42000,50000,4
General Fund,Human Resources,Direct Expenses,Medical Services,,,,61620,61620,51620,58150,58150,106500,4
General Fund,Human Resources,Direct Expenses,Motor Fuels & Lubricants,,,,7263,7263,7875,8505,8505,7625,4
General Fund,Human Resources,Direct Expenses,Office Supplies,,,,12950,12950,10500,10500,10500,13500,4
General Fund,Human Resources,Direct Expenses,Operational & Maint Supplies,,,,3500,3500,2000,5500,5500,50500,4
General Fund,Human Resources,Direct Expenses,Photocopy Maint,,,,6450,6450,7793,7793,7793,7793,4
General Fund,Human Resources,Direct Expenses,Print Copy-Rmb,,,,14150,14150,43419,45700,45700,37200,4
General Fund,Human Resources,Direct Expenses,Professional Svcs-Other,,,,,,,70000,520000,306000,4
General Fund,Human Resources,Direct Expenses,Rental-Equipment,,,,660,660,,,,,4
General Fund,Human Resources,Direct Expenses,Rental-Real Property,,,,,18425,21425,21216.7,21216.7,21650,4
General Fund,Human Resources,Direct Expenses,Repairs-Office Equip,,,,2375,2375,2375,3375,2875,1875,4
General Fund,Human Resources,Direct Expenses,Safety/Medical Supplies,,,,8200,8200,8200,8300,8300,18500,4
General Fund,Human Resources,Direct Expenses,Small Equipment,,,,2725,2725,1725,5900,5700,4600,4
General Fund,Human Resources,Direct Expenses,Special Projects & Programs,,,,86625,86625,86625,96625,96625,104690,4
General Fund,Human Resources,Direct Expenses,Telephone/Comm (Hard Lines),,,,2000,2000,,,,,4
General Fund,Human Resources,Direct Expenses,Training Supplies,,,,16200,16200,13200,15700,13000,10500,4
General Fund,Human Resources,Direct Expenses,Uniforms,,,,710,710,710,710,1000,1000,4
General Fund,Human Resources,Direct Expenses,Vehicle Maint & Operation,,,,4120,4120,6120,6120,6120,6000,4
General Fund,Human Resources,Direct Expenses,Wireless Data Comm,,,,3240,5760,5760,5760,5760,8400,4
General Fund,Human Resources,Direct Expenses Total,,,,,364338,470693,562810,682019.82,1122909.82,1176518,3
General Fund,Human Resources,Employee Benefits,457 Plan Offset,,,,-14805,,,,,,4
General Fund,Human Resources,Employee Benefits,Dental Insurance,,,,10734,12566.9,14075.96,15878.72,17051.84,18516.36,4
General Fund,Human Resources,Employee Benefits,Dental Insurance Increment,,,,,251.35,,,-1418.72,,4
General Fund,Human Resources,Employee Benefits,FICA Temp,,,,4714.3,4714.3,4770.1,4770.1,4807.86,7194.3,4
General Fund,Human Resources,Employee Benefits,Group Life Ad & Di,,,,1524.77,1556.53,1688.99,1785.76,1827.24,2061.64,4
General Fund,Human Resources,Employee Benefits,Health Insurance,,,,179676,206730,222156,233868,239643.36,242967.36,4
General Fund,Human Resources,Employee Benefits,Health Insurance Increment,,,,-16248,-33423.22,-30857.47,-13486.76,-18021.17,17446.78,4
General Fund,Human Resources,Employee Benefits,Medicare,,,,24565.81,25077.5,27211.93,28770.58,29438.82,33214.78,4
General Fund,Human Resources,Employee Benefits,Medicare Temp,,,,1102.54,1102.54,1115.59,1115.59,1124.42,1682.54,4
General Fund,Human Resources,Employee Benefits,Retirement,,,,116560.58,116566.99,132681.63,140341.45,142118.56,165929.92,4
General Fund,Human Resources,Employee Benefits,Retirement Temp,,,,700.85,847.8,810.5,836.5,836.5,836.5,4
General Fund,Human Resources,Employee Benefits,Social Security,,,,105040.04,107227.76,116354.47,123019.07,125876.45,142021.82,4
General Fund,Human Resources,Employee Benefits,Supplemental Retirement,,,,44865.56,32205.86,35956.47,53180.55,51100.59,50513.88,4
General Fund,Human Resources,Employee Benefits Total,,,,,458431.45,475424.31,525964.17,590079.56,594385.75,682385.88,3
General Fund,Human Resources,Miscellaneous,Advertising,,,,15000,15000,20000,20000,25000,40000,4
General Fund,Human Resources,Miscellaneous,Employee Reimb Expense,,,,10000,10000,7500,4600,4600,4600,4
General Fund,Human Resources,Miscellaneous,Interview & Hiring Reimburseme,,,,15000,15000,152500,112500,52500,78000,4
General Fund,Human Resources,Miscellaneous,Licenses/Dues & Publications,,,,6350,6350,9450,15936,15786,17816,4
General Fund,Human Resources,Miscellaneous,Mileage Reimb,,,,500,500,500,910.68,910.68,3000,4
General Fund,Human Resources,Miscellaneous,Organization Dev & Training,,,,85560,91060,99401,111841,118500,43000,4
General Fund,Human Resources,Miscellaneous,Postage - Dept Charges,,,,,,,2800,2800,2800,4
General Fund,Human Resources,Miscellaneous,Records Storage Retention Svcs,,,,,4814,4814,4814,6000,12000,4
General Fund,Human Resources,Miscellaneous,Training & Travel & Reg,,,,6100,6100,14800,34095,34000,54000,4
General Fund,Human Resources,Miscellaneous,Tuition Assistance,,,,147500,147500,147500,135000,135000,135000,4
General Fund,Human Resources,Miscellaneous Total,,,,,286010,296324,456465,442496.68,395096.68,390216,3
General Fund,Human Resources,Other Expense,Background Invest,,,,4000,4000,4000,4000,13000,22000,4
General Fund,Human Resources,Other Expense,To ISF-Prop/Liab Claims,,,,,,3831,,,,4
General Fund,Human Resources,Other Expense,To ISF-Prop/Liab Premium,,,,,,1982,,,,4
General Fund,Human Resources,Other Expense,To Isf-Sir Workers Comp,,,,15736,11763,12812,,,,4
General Fund,Human Resources,Other Expense,To ISF-WC Excess Premium,,,,,,892,,,,4
General Fund,Human Resources,Other Expense Total,,,,,19736,15763,23517,4000,13000,22000,3
General Fund,Human Resources,Salaries and Wages,Earnings Offset,,,,-7200,,,4056,,,4
General Fund,Human Resources,Salaries and Wages,Expense Allowance,,,,4733,4733,4733,4733,4733,4733,4
General Fund,Human Resources,Salaries and Wages,Incentive Pay,,,,5000,5000,5000,5000,5000,5000,4
General Fund,Human Resources,Salaries and Wages,Longevity,,,,29141.25,33499.1,27118.18,22625.47,26581.99,18706.56,4
General Fund,Human Resources,Salaries and Wages,Merit Increase,,,,7199.83,83.7,137.4,165.73,,,4
General Fund,Human Resources,Salaries and Wages,Range Increase,,,,83.72,83.7,137.4,165.73,,,4
General Fund,Human Resources,Salaries and Wages,Salaries-Ft,,,,1657769.3,1695813.68,1849291.85,1961221.54,2003683.15,2271968,4
General Fund,Human Resources,Salaries and Wages,Salaries-Ot For Ft Staff,,,,6304,6304,6304,6304,6304,6304,4
General Fund,Human Resources,Salaries and Wages,Salaries-Pt Temp/Seasonal,,,,60000,60000,60900,60900,61509,100000,4
General Fund,Human Resources,Salaries and Wages Total,,,,,1763031.1,1805517.18,1953621.83,2065171.47,2107811.14,2406711.56,3
General Fund,Human Resources Total,,,,,,2891546.55,3063721.49,3522378,3783767.53,4233203.39,4680831.44,2
General Fund,Human Service Agencies,Other Expense,Arts & Culture,,,,,264750,228061,274644,279301,170286,4
General Fund,Human Service Agencies,Other Expense,Boards & Commissions,,,,,8100,,,,,4
General Fund,Human Service Agencies,Other Expense,Human Service Agencies,,,,,949000,999000,1019000,1024000,1019200,4
General Fund,Human Service Agencies,Other Expense,Other External Agencies,,,,,,,249000,,,4
General Fund,Human Service Agencies,Other Expense Total,,,,,,1221850,1227061,1542644,1303301,1189486,3
General Fund,Human Service Agencies Total,,,,,,,1221850,1227061,1542644,1303301,1189486,2
General Fund,Information Technology Admin,Direct Expenses,Cellular/Wireless Voice Lines,,,,26770,,,,,,4
General Fund,Information Technology Admin,Direct Expenses,Computer Lease,,,,372342,,,,,,4
General Fund,Information Technology Admin,Direct Expenses,Computer Operations & Access,,,,102246,152529,101300,77765,57800,1300,4
General Fund,Information Technology Admin,Direct Expenses,Contractual Svcs-Other,,,,6720,184320,184320,184320,184320,142170,4
General Fund,Information Technology Admin,Direct Expenses,Copier Maintenance/Impressions,,,,399798,,,,,500,4
General Fund,Information Technology Admin,Direct Expenses,MFD Lease Contra Account,,,,-628870,,,,,,4
General Fund,Information Technology Admin,Direct Expenses,Motor Fuels & Lubricants,,,,1584,,,,,,4
General Fund,Information Technology Admin,Direct Expenses,Office Supplies,,,,32319,,,,,3000,4
General Fund,Information Technology Admin,Direct Expenses,Operational & Maint Supplies,,,,11917,7300,5800,12648,12648,1148,4
General Fund,Information Technology Admin,Direct Expenses,Photocopy Maint,,,,244587,,,,,,4
General Fund,Information Technology Admin,Direct Expenses,Print Copy-Rmb,,,,12900,3800,3800,3800,1800,1800,4
General Fund,Information Technology Admin,Direct Expenses,Professional Svcs-Other,,,,163164,,,,77000,,4
General Fund,Information Technology Admin,Direct Expenses,Rental-Equipment,,,,1000,,,,,,4
General Fund,Information Technology Admin,Direct Expenses,Rental-Real Property,,,,62000,,,,,,4
General Fund,Information Technology Admin,Direct Expenses,Telephone/Comm (Hard Lines),,,,388710,,,,,,4
General Fund,Information Technology Admin,Direct Expenses,Uniforms,,,,,,,,1000,,4
General Fund,Information Technology Admin,Direct Expenses,Vehicle Maint & Operation,,,,7532,,,,,,4
General Fund,Information Technology Admin,Direct Expenses,Wireless Data Comm,,,,103000,,,,,,4
General Fund,Information Technology Admin,Direct Expenses Total,,,,,1307719,347949,295220,278533,334568,149918,3
General Fund,Information Technology Admin,Employee Benefits,457 Plan Offset,,,,-6793,,,,,,4
General Fund,Information Technology Admin,Employee Benefits,Dental Insurance,,,,4641,2658.5,3089.8,3601.8,5916.32,6219.52,4
General Fund,Information Technology Admin,Employee Benefits,Dental Insurance Increment,,,,,53.17,,,-492.24,,4
General Fund,Information Technology Admin,Employee Benefits,FICA Temp,,,,7751.61,5966.69,6055.79,7849.02,2207.76,2207.76,4
General Fund,Information Technology Admin,Employee Benefits,Group Life Ad & Di,,,,853.31,520.65,489.56,523.16,751.34,799.61,4
General Fund,Information Technology Admin,Employee Benefits,Health Insurance,,,,86970,40950,45780,48348,88968,73413.12,4
General Fund,Information Technology Admin,Employee Benefits,Health Insurance Increment,,,,-7864,-6621.16,-6358.85,-2876.71,-6690.4,5432.58,4
General Fund,Information Technology Admin,Employee Benefits,Medicare,,,,13747.8,8388.12,7887.53,8428.93,12104.93,12882.81,4
General Fund,Information Technology Admin,Employee Benefits,Medicare Temp,,,,1812.88,1395.44,1416.27,1835.66,516.33,516.33,4
General Fund,Information Technology Admin,Employee Benefits,Retirement,,,,65231,38990.36,38458.53,41137.1,58512.33,64414.17,4
General Fund,Information Technology Admin,Employee Benefits,Retirement Temp,,,,1784.92,,,,,,4
General Fund,Information Technology Admin,Employee Benefits,Social Security,,,,58783.77,35866.49,33726,36040.96,51758.97,55085.22,4
General Fund,Information Technology Admin,Employee Benefits,Supplemental Retirement,,,,20584.59,6973.43,9692.72,16953.23,23133.04,21090.33,4
General Fund,Information Technology Admin,Employee Benefits Total,,,,,247503.88,135141.69,140237.35,161841.15,236686.38,242061.45,3
General Fund,Information Technology Admin,Miscellaneous,Advertising,,,,4000,,,,,,4
General Fund,Information Technology Admin,Miscellaneous,In/Out Freight,,,,10000,,,,,,4
General Fund,Information Technology Admin,Miscellaneous,Licenses/Dues & Publications,,,,149261,,,,,,4
General Fund,Information Technology Admin,Miscellaneous,Mileage Reimb,,,,1056,,,,,,4
General Fund,Information Technology Admin,Miscellaneous,Organization Dev & Training,,,,21950,,,,,,4
General Fund,Information Technology Admin,Miscellaneous,Postage - Dept Charges,,,,,,,175,250,,4
General Fund,Information Technology Admin,Miscellaneous,Training & Travel & Reg,,,,106223,,,,,68400,4
General Fund,Information Technology Admin,Miscellaneous Total,,,,,292490,,,175,250,68400,3
General Fund,Information Technology Admin,Other Expense,Stipened - Gr,,,,,,,1,20000,,4
General Fund,Information Technology Admin,Other Expense,To Isf-Sir Workers Comp,,,,49665,,,,,,4
General Fund,Information Technology Admin,Other Expense Total,,,,,49665,,,1,20000,,3
General Fund,Information Technology Admin,Salaries and Wages,Agency Personnel-Temp,,,,,,,,10000,10000,4
General Fund,Information Technology Admin,Salaries and Wages,Earnings Offset,,,,-4165,,,589,,,4
General Fund,Information Technology Admin,Salaries and Wages,Expense Allowance,,,,5237,5237,5309,5309,5309,5309,4
General Fund,Information Technology Admin,Salaries and Wages,Longevity,,,,10723.98,6651.92,6322.24,4758.74,8627.19,11379.61,4
General Fund,Information Technology Admin,Salaries and Wages,Merit Increase,,,,4165.2,11.36,,9.9,,,4
General Fund,Information Technology Admin,Salaries and Wages,Range Increase,,,,47.91,11.36,,9.9,,,4
General Fund,Information Technology Admin,Salaries and Wages,Salaries-Ft,,,,933187.99,571817.19,537645.68,576527.26,826194.97,877091.77,4
General Fund,Information Technology Admin,Salaries and Wages,Salaries-Ot For Ft Staff,,,,28789,,,,,,4
General Fund,Information Technology Admin,Salaries and Wages,Salaries-Pt Temp/Seasonal,,,,91000,91000,92365,121288,30300,30300,4
General Fund,Information Technology Admin,Salaries and Wages,Salary Reserve,,,,,,,,,200000,4
General Fund,Information Technology Admin,Salaries and Wages Total,,,,,1068986.08,674728.83,641641.92,708491.8,880431.16,1134080.38,3
General Fund,Information Technology Admin Total,,,,,,2966363.96,1157819.52,1077099.27,1149041.95,1471935.54,1594459.83,2
General Fund,Inspections,Capital Equipment,Audio Visual Equip,,,,2500,1000,,,,,4
General Fund,Inspections,Capital Equipment,Communications Equip,,,,,,9000,6600,12500,,4
General Fund,Inspections,Capital Equipment Total,,,,,2500,1000,9000,6600,12500,,3
General Fund,Inspections,Direct Expenses,Building Demolition,,,,145000,145000,145000,,,,4
General Fund,Inspections,Direct Expenses,Cellular/Wireless Voice Lines,,,,46450,20000,20000,1500,1032.72,,4
General Fund,Inspections,Direct Expenses,Computer Lease,,,,113624,69446,65600,34461,28775,,4
General Fund,Inspections,Direct Expenses,Computer Operations & Access,,,,95000,70000,65700,1000,3250,,4
General Fund,Inspections,Direct Expenses,Contractual Svcs-Other,,,,51000,55000,55000,,,,4
General Fund,Inspections,Direct Expenses,Copier Maintenance/Impressions,,,,10200,18449,18000,9200,14200,,4
General Fund,Inspections,Direct Expenses,Equipment Usage Charge,,,,88644,76600,107340,115120,176536,,4
General Fund,Inspections,Direct Expenses,Motor Fuels & Lubricants,,,,137725,184605,163117,125216,148270,,4
General Fund,Inspections,Direct Expenses,Office Supplies,,,,12500,12000,11000,4500,4500,,4
General Fund,Inspections,Direct Expenses,Operational & Maint Supplies,,,,9800,8800,8500,8000,9000,,4
General Fund,Inspections,Direct Expenses,Photocopy Maint,,,,8640,9377,11000,6000,6000,,4
General Fund,Inspections,Direct Expenses,Print Copy-Rmb,,,,5160,5200,4700,2500,2500,,4
General Fund,Inspections,Direct Expenses,Rental-Real Property,,,,,,37667,50000,50000,,4
General Fund,Inspections,Direct Expenses,Rsv-Wide Area Network,,,,,,,2839,,,4
General Fund,Inspections,Direct Expenses,Service Contracts-Other,,,,,,,,3000,,4
General Fund,Inspections,Direct Expenses,Small Equipment,,,,1500,1000,1000,500,2750,,4
General Fund,Inspections,Direct Expenses,Telephone/Comm (Hard Lines),,,,1500,500,500,,,,4
General Fund,Inspections,Direct Expenses,Uniforms,,,,2000,2000,4000,2300,3500,,4
General Fund,Inspections,Direct Expenses,Vehicle Maint & Operation,,,,128400,116000,111200,89400,89400,,4
General Fund,Inspections,Direct Expenses,Wan Data Line,,,,,,,,5000,,4
General Fund,Inspections,Direct Expenses,Wireless Data Comm,,,,46300,60000,56850,40192,50583.2,,4
General Fund,Inspections,Direct Expenses Total,,,,,903443,853977,886174,492728,598296.92,,3
General Fund,Inspections,Employee Benefits,457 Plan Offset,,,,-48560,,,,,,4
General Fund,Inspections,Employee Benefits,Dental Insurance,,,,41754.01,43411.92,39367.32,27802.92,42661,,4
General Fund,Inspections,Employee Benefits,Dental Insurance Increment,,,,,868.23,,,-3163.76,,4
General Fund,Inspections,Employee Benefits,FICA Temp,,,,365.8,1364,1413.6,4501.2,2027.4,,4
General Fund,Inspections,Employee Benefits,Group Life Ad & Di,,,,4912.5,4725.95,4291.9,3139.41,3591.22,,4
General Fund,Inspections,Employee Benefits,Health Insurance,,,,733318.66,721057.28,659028,358092,500658.24,,4
General Fund,Inspections,Employee Benefits,Health Insurance Increment,,,,-66311,-115879.42,-91538.99,-20021.27,-32776.54,,4
General Fund,Inspections,Employee Benefits,Medicare,,,,79145.68,76140.36,70302.53,50579.33,57858.26,,4
General Fund,Inspections,Employee Benefits,Medicare Temp,,,,,319,330.6,1052.7,474.15,,4
General Fund,Inspections,Employee Benefits,Police 401K Temp,,,,,1100,,,,,4
General Fund,Inspections,Employee Benefits,Retirement,,,,375532.47,353921.36,335991.78,239855.49,279639.85,,4
General Fund,Inspections,Employee Benefits,Retirement Temp,,,,317.44,1650,1577.4,5328,1628,,4
General Fund,Inspections,Employee Benefits,Social Security,,,,338415.88,325565.61,300603.65,216270.23,247393.68,,4
General Fund,Inspections,Employee Benefits,Supplemental Retirement,,,,147150.3,93900.99,87342.9,87510.09,91944.6,,4
General Fund,Inspections,Employee Benefits Total,,,,,1606041.74,1508145.28,1408710.69,974110.1,1191936.1,,3
General Fund,Inspections,Miscellaneous,Advertising,,,,27500,36500,36500,,,,4
General Fund,Inspections,Miscellaneous,Licenses/Dues & Publications,,,,15500,15000,18500,17750,12410,,4
General Fund,Inspections,Miscellaneous,Organization Dev & Training,,,,4500,,,,,,4
General Fund,Inspections,Miscellaneous,Postage - Dept Charges,,,,,,,,15000,,4
General Fund,Inspections,Miscellaneous,Records Storage Retention Svcs,,,,,2700,,,,,4
General Fund,Inspections,Miscellaneous,Training & Travel & Reg,,,,13000,11500,16500,9500,17000,,4
General Fund,Inspections,Miscellaneous Total,,,,,60500,65700,71500,27250,44410,,3
General Fund,Inspections,Other Expense,To ISF-Prop/Liab Claims,,,,,,18486,17339,14083,,4
General Fund,Inspections,Other Expense,To ISF-Prop/Liab Premium,,,,,,6618,13450,9070,,4
General Fund,Inspections,Other Expense,To Isf-Sir Workers Comp,,,,46926,36304,38109,62199,63564,,4
